cancelled,category,country,deleted_reason,description,duplicate_of_id,duration,end,first_seen,id,labels,location,place_hierarchies,postponed,relevance,scope,start,state,timezone,title,updated,aviation_rank,brand_safe,entities,local_rank,phq_attendance,predicted_end,private,rank,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
,academic,US,,,,2246399,2021-01-16 05:59:59+00:00,2020-07-23 21:36:46+00:00,PDyDYZ4HUwG2zBepTD,"['academic', 'academic-session', 'online-session']","[-87.837641, 41.691942]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4905263'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-21 06:00:00+00:00,active,America/Chicago,Winter Session,2020-10-21 02:16:09+00:00,,,"[{'entity_id': 'KCKRfPteeQrmLMkhZv5HKx', 'name': 'Moraine Valley Community College', 'type': 'venue', 'formatted_address': 'College Parkway\nPalos Hills, IL 60465\nUnited States of America'}]",,222.0,,False,37,Moraine Valley Community College,-87.837641,41.691942,academic-session,online-session,not_estimated,True
,academic,US,,,,3196799,2021-01-25 05:59:59+00:00,2020-07-23 22:08:33+00:00,LJ28T4J8VxYkdEge3c,"['academic', 'holiday']","[-87.624444, 41.874226]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-19 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:20:36+00:00,,,"[{'entity_id': 'cGTQDjm24PmvJL8nePCFcK', 'name': 'Columbia College Chicago', 'type': 'venue', 'formatted_address': '600 South Michigan Avenue\nChicago, IL 60605\nUnited States of America'}]",,6708.0,,False,67,Columbia College Chicago,-87.624444,41.874226,holiday,in-person,not_estimated,False
,academic,US,,,,3283199,2021-01-19 05:59:59+00:00,2020-07-23 21:33:11+00:00,2TNLBxxqULEShvmNCm,"['academic', 'holiday']","[-87.78775, 41.958238]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4890318']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:13:37+00:00,,,"[{'entity_id': 'VWsjmjqzbTFiWhA6a78x5k', 'name': 'Wilbur Wright College - City Colleges of Chicago', 'type': 'venue', 'formatted_address': '4300 North Narragansett Avenue\nChicago, IL 60634\nUnited States of America'}]",,5986.0,,False,66,Wilbur Wright College - City Colleges of Chicago,-87.78775,41.958238,holiday,in-person,not_estimated,False
,academic,US,,,,3283199,2021-01-19 05:59:59+00:00,2020-07-23 21:36:19+00:00,CMKsDZqEX3zKaJJzyw,"['academic', 'holiday']","[-87.658258, 41.998776]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:13:40+00:00,,,"[{'entity_id': 'YyVPsJ8p2pCxcgBHcU6Zck', 'name': 'Loyola University Chicago', 'type': 'venue', 'formatted_address': '1032 West Sheridan Road\nChicago, IL 60660\nUnited States of America'}]",,11622.0,,False,71,Loyola University Chicago,-87.658258,41.998776,holiday,in-person,not_estimated,False
,academic,US,,,,3283199,2021-01-19 05:59:59+00:00,2020-07-23 22:11:51+00:00,PWwevLzzXSoKbuP3Eo,"['academic', 'holiday']","[-87.674688, 41.877876]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:11:46+00:00,,,"[{'entity_id': 'kjWXNvMsCemNExApReDM83', 'name': 'Malcolm X College', 'type': 'venue', 'formatted_address': '1900 West Jackson Boulevard\nChicago, IL 60612\nUnited States of America'}]",,4461.0,,False,63,Malcolm X College,-87.674688,41.877876,holiday,in-person,not_estimated,False
,academic,US,,,,1987199,2021-01-04 05:59:59+00:00,2020-07-23 21:40:12+00:00,QwYBmMusARpdN66RaG,"['academic', 'holiday']","[-87.598296, 41.790797]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4894404'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:29:02+00:00,,,"[{'entity_id': 'dZujRpmDZFJRjswYBjzatj', 'name': 'University of Chicago', 'type': 'venue', 'formatted_address': 'Chicago, IL 60637\nUnited States of America'}]",,6801.0,,False,67,University of Chicago,-87.598296,41.790797,holiday,in-person,not_estimated,False
,academic,US,,,,3283199,2021-01-19 05:59:59+00:00,2020-07-23 22:12:10+00:00,RY9UejhqvmrLWckJwF,"['academic', 'holiday']","[-87.723959, 41.756059]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4902450'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:23:36+00:00,,,"[{'entity_id': 'rSSm5AvsBgWMQhcJaK6MUj', 'name': 'Richard J. Daley College', 'type': 'venue', 'formatted_address': '7500 S. Pulaski Road\nChicago, IL 60652\nUnited States of America'}]",,4388.0,,False,63,Richard J. Daley College,-87.723959,41.756059,holiday,in-person,not_estimated,False
,academic,US,,,,2591999,2021-01-11 05:59:59+00:00,2020-07-23 22:11:11+00:00,SvwzkNPdqPiKiUPbNi,"['academic', 'holiday']","[-87.627006, 41.834873]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:25:59+00:00,,,"[{'entity_id': 'qmgnxQEmGMxGuMKgJvjj4t', 'name': 'Illinois Institute of Technology', 'type': 'venue', 'formatted_address': '10 West 35th Street\nChicago, IL 60616\nUnited States of America'}]",,3143.0,,False,60,Illinois Institute of Technology,-87.627006,41.834873,holiday,in-person,not_estimated,False
,academic,US,,,,3283199,2021-01-19 05:59:59+00:00,2020-07-23 22:11:32+00:00,cFuapGfA7WzWzvavQP,"['academic', 'holiday']","[-87.658964, 41.964737]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:08:06+00:00,,,"[{'entity_id': '7qHgv6cPEpEBqUKC4tEGJ8', 'name': 'Truman College', 'type': 'venue', 'formatted_address': '1145 West Wilson Avenue\nChicago, IL 60640\nUnited States of America'}]",,4370.0,,False,63,Truman College,-87.658964,41.964737,holiday,in-person,not_estimated,False
,academic,US,,,,2591999,2021-01-11 05:59:59+00:00,2020-07-23 21:39:46+00:00,cnHcoPrtg33FWUXbwW,"['academic', 'holiday']","[-87.658001, 41.87521]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:15:10+00:00,,,"[{'entity_id': 'QJjfX3mJEReLU4USjyzyKc', 'name': 'University Of Illinois At Chicago', 'type': 'venue', 'formatted_address': '1200 West Harrison Street\nChicago, IL 60607\nUnited States of America'}]",,20195.0,,False,76,University Of Illinois At Chicago,-87.658001,41.87521,holiday,in-person,not_estimated,False
,academic,US,,,,3283199,2021-01-19 05:59:59+00:00,2020-07-23 22:08:11+00:00,gJrkf9r546vgBKRwM4,"['academic', 'holiday']","[-87.626848, 41.886073]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",,1.0,locality,2020-12-12 06:00:00+00:00,active,America/Chicago,Winter Break,2020-09-03 22:13:47+00:00,,,"[{'entity_id': 'SLPHTKkiJKhB5x2pRkXWzc', 'name': 'Harold Washington College, City College of Chicago', 'type': 'venue', 'formatted_address': '30 East Lake Street\nChicago, IL 60601\nUnited States of America'}]",,5836.0,,False,65,"Harold Washington College, City College of Chicago",-87.626848,41.886073,holiday,in-person,not_estimated,False
