id,title,description,start,end,timezone,duration,category,labels,country,rank,local_rank,aviation_rank,phq_attendance,entities,location,place_hierarchies,scope,relevance,state,first_seen,updated,deleted_reason,duplicate_of_id,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
yQ2PLjPeSwUPzumykV,Summer Session,,2021-06-14 05:00:00+00:00,2021-08-21 04:59:59+00:00,America/Chicago,5875199,academic,"['academic', 'academic-session', 'online-session']",US,0,,,0.0,"[{'entity_id': 'N8RpJ6bDrg4eLJBjc5gNPw', 'name': 'DePaul University', 'type': 'venue', 'formatted_address': 'Chicago, IL 60614\nUnited States of America'}]","[-87.656646, 41.924756]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4889019'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:34:34+00:00,2021-01-26 04:12:59+00:00,,,DePaul University,-87.656646,41.924756,academic-session,online-session,not_estimated,True
Q5ngnrLbSCTXRoMme4,Northwestern University - Spring Graduation,,2021-06-13 14:30:00+00:00,2021-06-13 14:30:00+00:00,America/Chicago,0,academic,"['academic', 'graduation']",US,71,,,11000.0,"[{'entity_id': 'pQ44rRTViiN52iXMd8jneV', 'name': 'Ryan Field', 'type': 'venue', 'formatted_address': '1501 Central Street\nEvanston, IL 60201\nUnited States of America'}]","[-87.692475, 42.065399]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4916732'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:37:50+00:00,2020-09-03 22:23:45+00:00,,,Ryan Field,-87.692475,42.065399,graduation,in-person,not_estimated,True
CrfXW82XGo8LAnJuGw,Summer Break,,2021-06-12 05:00:00+00:00,2021-06-21 04:59:59+00:00,America/Chicago,777599,academic,"['academic', 'estimated', 'holiday']",US,68,,,8162.0,"[{'entity_id': 'vDgh2mmh2VirueUhbkWdzv', 'name': 'Northwestern University', 'type': 'venue', 'formatted_address': '633 Clark Street\nEvanston, IL 60208\nUnited States of America'}]","[-87.675267, 42.056459]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4916732', '4903898', '4891382'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:37:51+00:00,2020-09-03 22:19:26+00:00,,,Northwestern University,-87.675267,42.056459,holiday,in-person,estimated,False
HkWJLZQRKrT6gVvB9B,University of Chicago - Spring Graduation,,2021-06-12 05:00:00+00:00,2021-06-13 04:59:59+00:00,America/Chicago,86399,academic,"['academic', 'graduation']",US,73,,,14353.0,"[{'entity_id': 'dZujRpmDZFJRjswYBjzatj', 'name': 'University of Chicago', 'type': 'venue', 'formatted_address': 'Chicago, IL 60637\nUnited States of America'}]","[-87.598296, 41.790797]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4894404'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:40:15+00:00,2021-03-19 14:29:24+00:00,,,University of Chicago,-87.598296,41.790797,graduation,in-person,not_estimated,True
SQj8uYvdpD3pZWy3QQ,Summer Break,,2021-06-12 05:00:00+00:00,2021-09-08 04:59:59+00:00,America/Chicago,7603199,academic,"['academic', 'holiday']",US,72,,,12766.0,"[{'entity_id': 'N8RpJ6bDrg4eLJBjc5gNPw', 'name': 'DePaul University', 'type': 'venue', 'formatted_address': 'Chicago, IL 60614\nUnited States of America'}]","[-87.656646, 41.924756]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4889019'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:34:35+00:00,2020-09-03 22:26:20+00:00,,,DePaul University,-87.656646,41.924756,holiday,in-person,not_estimated,False
wzY7wniZYGFrirG4uH,DePaul University - Spring Graduation,,2021-06-12 05:00:00+00:00,2021-06-14 04:59:59+00:00,America/Chicago,172799,academic,"['academic', 'graduation']",US,80,,,30000.0,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:34:33+00:00,2020-09-03 22:10:28+00:00,,,Wintrust Arena,-87.621772,41.853136,graduation,in-person,not_estimated,True
xyVs9eGz6GuDf3t8S6,Summer Break,,2021-06-12 05:00:00+00:00,2021-06-21 04:59:59+00:00,America/Chicago,777599,academic,"['academic', 'holiday']",US,67,,,6801.0,"[{'entity_id': 'dZujRpmDZFJRjswYBjzatj', 'name': 'University of Chicago', 'type': 'venue', 'formatted_address': 'Chicago, IL 60637\nUnited States of America'}]","[-87.598296, 41.790797]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4894404'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:40:16+00:00,2020-09-03 22:23:23+00:00,,,University of Chicago,-87.598296,41.790797,holiday,in-person,not_estimated,False
6VfGdeD6bjFbJUzFR2,Spring Exams,,2021-06-07 05:00:00+00:00,2021-06-12 04:59:59+00:00,America/Chicago,431999,academic,"['academic', 'exam', 'online-session']",US,0,,,0.0,"[{'entity_id': 'N8RpJ6bDrg4eLJBjc5gNPw', 'name': 'DePaul University', 'type': 'venue', 'formatted_address': 'Chicago, IL 60614\nUnited States of America'}]","[-87.656646, 41.924756]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4889019'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:34:32+00:00,2021-01-26 04:14:24+00:00,,,DePaul University,-87.656646,41.924756,exam,online-session,not_estimated,True
9m6FQjoMz6Bt7oHj7U,Spring Exams,,2021-06-07 05:00:00+00:00,2021-06-12 04:59:59+00:00,America/Chicago,431999,academic,"['academic', 'exam']",US,68,,,8162.0,"[{'entity_id': 'vDgh2mmh2VirueUhbkWdzv', 'name': 'Northwestern University', 'type': 'venue', 'formatted_address': '633 Clark Street\nEvanston, IL 60208\nUnited States of America'}]","[-87.675267, 42.056459]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4916732', '4903898', '4891382'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 21:37:49+00:00,2020-09-03 22:23:38+00:00,,,Northwestern University,-87.675267,42.056459,exam,in-person,not_estimated,True
3qtb9ZUSESghKJ32cK,Summer Session,,2021-06-02 05:00:00+00:00,2021-07-25 04:59:59+00:00,America/Chicago,4579199,academic,"['academic', 'academic-session', 'estimated']",US,63,,,4388.0,"[{'entity_id': 'rSSm5AvsBgWMQhcJaK6MUj', 'name': 'Richard J. Daley College', 'type': 'venue', 'formatted_address': '7500 S. Pulaski Road\nChicago, IL 60652\nUnited States of America'}]","[-87.723959, 41.756059]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4902450'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",locality,1.0,active,2020-07-23 22:12:13+00:00,2020-09-03 22:32:42+00:00,,,Richard J. Daley College,-87.723959,41.756059,academic-session,in-person,estimated,True
