cancelled,category,country,deleted_reason,description,duplicate_of_id,duration,end,first_seen,id,labels,location,place_hierarchies,postponed,relevance,scope,start,state,timezone,title,updated,aviation_rank,brand_safe,entities,local_rank,phq_attendance,predicted_end,private,rank,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
,academic,US,,,,4751999,2021-02-16 07:59:59+00:00,2020-08-27 22:59:43+00:00,Phxjnbcp4JPuYwU5f4,"['academic', 'holiday']","[-118.470395, 34.016557]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5393701'], ['6295630', '6255149', '6252001', '5332921', '5368381', '5368361']]",,1.0,locality,2020-12-23 08:00:00+00:00,active,America/Los_Angeles,Winter Break,2020-09-03 22:30:05+00:00,,,"[{'entity_id': 'PzFqeGx7V5zPwb2zemvXTB', 'name': 'Santa Monica College', 'type': 'venue', 'formatted_address': '1900 Pico Boulevard\nSanta Monica, CA 90405\nUnited States of America'}]",,24153.0,,False,78,Santa Monica College,-118.470395,34.016557,holiday,in-person,not_estimated,False
,academic,US,,,,1382399,2021-01-04 07:59:59+00:00,2020-08-27 23:06:19+00:00,ELJQRjQ9sEksGjrnhX,"['academic', 'holiday']","[-118.445181, 34.068921]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5408545'], ['6295630', '6255149', '6252001', '5332921', '5368381', '5368361']]",,1.0,locality,2020-12-19 08:00:00+00:00,active,America/Los_Angeles,Winter Break,2020-09-03 22:29:16+00:00,,,"[{'entity_id': '32afGxjEeXh84pfVwWY9qUk', 'name': 'University of California - Los Angeles', 'type': 'venue', 'formatted_address': 'Los Angeles, CA 90095\nUnited States of America'}]",,31543.0,,False,80,University of California - Los Angeles,-118.445181,34.068921,holiday,in-person,not_estimated,False
,academic,US,,,,1987199,2021-01-11 07:59:59+00:00,2020-08-27 22:39:39+00:00,GnZDn9boJZQr47xFtR,"['academic', 'holiday']","[-118.416611, 33.970163]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5323452'], ['6295630', '6255149', '6252001', '5332921', '5368381', '5368361']]",,1.0,locality,2020-12-19 08:00:00+00:00,active,America/Los_Angeles,Winter Break,2020-09-03 22:16:18+00:00,,,"[{'entity_id': 'w5KkFLAQnvrWF8nDe4PKWQ', 'name': 'Loyola Marymount University', 'type': 'venue', 'formatted_address': '1 Loyola Marymount University Drive\nLos Angeles, CA 90045\nUnited States of America'}]",,6665.0,,False,66,Loyola Marymount University,-118.416611,33.970163,holiday,in-person,not_estimated,False
,academic,US,,,,4406399,2021-02-08 07:59:59+00:00,2020-08-27 22:35:32+00:00,JLzRJHLjwztuQXc8dS,"['academic', 'holiday']","[-118.292473, 34.087269]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5368361'], ['6295630', '6255149', '6252001', '5332921', '5368381', '8062691']]",,1.0,locality,2020-12-19 08:00:00+00:00,active,America/Los_Angeles,Winter Break,2020-09-03 22:19:04+00:00,,,"[{'entity_id': 'htkLSUCJvJffjDUhU7cfeC', 'name': 'Los Angeles City College', 'type': 'venue', 'formatted_address': '855 North Vermont Avenue\nLos Angeles, CA 90029\nUnited States of America'}]",,10646.0,,False,71,Los Angeles City College,-118.292473,34.087269,holiday,in-person,not_estimated,False
,academic,US,,,,4406399,2021-02-08 07:59:59+00:00,2020-08-27 23:11:57+00:00,JoDK82KppSPCHafpJ3,"['academic', 'holiday']","[-118.387156, 34.004228]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5364195'], ['6295630', '6255149', '6252001', '5332921', '5368381', '5368361']]",,1.0,locality,2020-12-19 08:00:00+00:00,active,America/Los_Angeles,Winter Break,2020-09-03 22:21:12+00:00,,,"[{'entity_id': 'aZtwEWCRc8nfX4CcFksdip', 'name': 'West Los Angeles College', 'type': 'venue', 'formatted_address': '9000 Overland Avenue\nCulver City, CA 90230\nUnited States of America'}]",,2478.0,,False,58,West Los Angeles College,-118.387156,34.004228,holiday,in-person,not_estimated,False
,academic,US,,,,4406399,2021-02-08 07:59:59+00:00,2020-08-27 22:38:40+00:00,ggDnoyLSVKv6CviMcL,"['academic', 'estimated', 'holiday']","[-118.421718, 34.175568]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5368361'], ['6295630', '6255149', '6252001', '5332921', '5368381', '5363024']]",,1.0,locality,2020-12-19 08:00:00+00:00,active,America/Los_Angeles,Winter Break,2021-03-23 19:53:33+00:00,,,"[{'entity_id': 'vveYakrX9C6U3CBvFSZSNQ', 'name': 'Los Angeles Valley College', 'type': 'venue', 'formatted_address': '5800 Fulton Avenue\nLos Angeles, CA 91401\nUnited States of America'}]",,11917.0,,False,72,Los Angeles Valley College,-118.421718,34.175568,holiday,in-person,estimated,False
,academic,US,,,,4406399,2021-02-08 07:59:59+00:00,2020-08-27 22:38:10+00:00,pJHKKLgcW2fcHniQkZ,"['academic', 'estimated', 'holiday']","[-118.269695, 34.032848]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5368361'], ['6295630', '6255149', '6252001', '5332921', '5368381', '5360529']]",,1.0,locality,2020-12-19 08:00:00+00:00,active,America/Los_Angeles,Winter Break,2020-09-03 22:19:55+00:00,,,"[{'entity_id': '36Ni6bFidX2bME3rKyW8m8R', 'name': 'Los Angeles Trade Technical College', 'type': 'venue', 'formatted_address': '400 West Washington Boulevard\nLos Angeles, CA 90015\nUnited States of America'}]",,10263.0,,False,70,Los Angeles Trade Technical College,-118.269695,34.032848,holiday,in-person,estimated,False
,academic,US,,,,5788799,2021-02-22 07:59:59+00:00,2020-08-27 22:30:31+00:00,nCZzuSeGXT4rsx5jtv,"['academic', 'holiday']","[-118.227919, 34.16658]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5344624'], ['6295630', '6255149', '6252001', '5332921', '5368381', '5368361']]",,1.0,locality,2020-12-17 08:00:00+00:00,active,America/Los_Angeles,Winter Break,2020-09-03 22:28:32+00:00,,,"[{'entity_id': '37Kjv45jpCD2iLBByC83iUW', 'name': 'Glendale Community College', 'type': 'venue', 'formatted_address': '1500 North Verdugo Road\nGlendale, CA 91208\nUnited States of America'}]",,14781.0,,False,73,Glendale Community College,-118.227919,34.16658,holiday,in-person,not_estimated,False
,academic,US,,,,691199,2020-12-23 07:59:59+00:00,2020-08-27 22:59:42+00:00,CHBmTCYBXN6EsfuGW5,"['academic', 'exam', 'online-session']","[-118.470395, 34.016557]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5393701'], ['6295630', '6255149', '6252001', '5332921', '5368381', '5368361']]",,1.0,locality,2020-12-15 08:00:00+00:00,active,America/Los_Angeles,Fall Exams,2020-10-21 02:12:04+00:00,,,"[{'entity_id': 'PzFqeGx7V5zPwb2zemvXTB', 'name': 'Santa Monica College', 'type': 'venue', 'formatted_address': '1900 Pico Boulevard\nSanta Monica, CA 90405\nUnited States of America'}]",,0.0,,False,0,Santa Monica College,-118.470395,34.016557,exam,online-session,not_estimated,True
,academic,US,,,,431999,2020-12-19 07:59:59+00:00,2020-08-27 23:11:56+00:00,8cLvpUsixHkqRRYQ4a,"['academic', 'exam', 'online-session']","[-118.387156, 34.004228]","[['6295630', '6255149', '6252001', '5332921', '5368381', '5364195'], ['6295630', '6255149', '6252001', '5332921', '5368381', '5368361']]",,1.0,locality,2020-12-14 08:00:00+00:00,active,America/Los_Angeles,Fall Exams,2020-10-21 02:12:37+00:00,,,"[{'entity_id': 'aZtwEWCRc8nfX4CcFksdip', 'name': 'West Los Angeles College', 'type': 'venue', 'formatted_address': '9000 Overland Avenue\nCulver City, CA 90230\nUnited States of America'}]",,0.0,,False,0,West Los Angeles College,-118.387156,34.004228,exam,online-session,not_estimated,True
