id,title,description,start,end,timezone,duration,category,labels,country,rank,local_rank,aviation_rank,phq_attendance,entities,location,place_hierarchies,scope,relevance,state,first_seen,updated,deleted_reason,duplicate_of_id,entity_name,longitude,latitude,sub_category,session_type,estimated,on_campus
sJ9AWdrqnnkNHiPGNm,Summer Session,,2021-06-01 05:00:00+00:00,2021-08-09 04:59:59+00:00,America/Chicago,5961599,academic,"['academic', 'academic-session', 'online-session']",US,38,,,241.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:06+00:00,2021-01-26 04:41:33+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,academic-session,online-session,not_estimated,True
AHPGV7cBMdgxEq7pGe,The University of Texas at Austin - Spring Graduation,,2021-05-21 05:00:00+00:00,2021-05-23 04:59:59+00:00,America/Chicago,172799,academic,"['academic', 'graduation']",US,78,,,24500.0,"[{'entity_id': 'zwgVtu3XAsAvEH6fcvLCcc', 'name': 'University of Texas - Gregory Gym', 'type': 'venue', 'formatted_address': '2101 Speedway\nAustin, TX 78712\nUnited States of America'}]","[-97.736914, 30.283953]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:36+00:00,2020-09-03 22:21:10+00:00,,,University of Texas - Gregory Gym,-97.736914,30.283953,graduation,in-person,not_estimated,True
6wh4b4S7ZfS6qg8x2Y,Summer Break,,2021-05-19 05:00:00+00:00,2021-08-25 04:59:59+00:00,America/Chicago,8467199,academic,"['academic', 'estimated', 'holiday']",US,84,,,51831.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:38+00:00,2020-11-10 01:48:28+00:00,,,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,estimated,False
gL2bbP7GS7eY6iU2Gu,Summer Session,,2021-05-19 05:00:00+00:00,2021-08-17 04:59:59+00:00,America/Chicago,7775999,academic,"['academic', 'academic-session', 'online-session']",US,54,,,1554.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:38+00:00,2021-02-22 03:56:21+00:00,,,The University of Texas at Austin,-97.734057,30.284918,academic-session,online-session,not_estimated,True
GiBYiZ69bm62aEDfQY,Summer Break,,2021-05-15 05:00:00+00:00,2021-08-23 04:59:59+00:00,America/Chicago,8639999,academic,"['academic', 'estimated', 'holiday']",US,58,,,2419.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:07+00:00,2020-10-07 11:11:43+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,estimated,False
NPiiBJpU46R5AL3Acs,Austin Community College District - Spring Graduation,,2021-05-14 05:00:00+00:00,2021-05-15 04:59:59+00:00,America/Chicago,86399,academic,"['academic', 'estimated', 'graduation']",US,72,,,12600.0,"[{'entity_id': '39ENkzQLMam2qDNVYHwDTX7', 'name': 'Frank C. Erwin, Jr., Special Events Center', 'type': 'venue', 'formatted_address': '1701 Red River Street\nAustin, TX 78701\nUnited States of America'}]","[-97.732169, 30.276954]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:06+00:00,2021-03-19 12:19:02+00:00,,,"Frank C. Erwin, Jr., Special Events Center",-97.732169,30.276954,graduation,in-person,estimated,True
aYmT64NHZvQoTeFXGC,Spring Exams,,2021-05-12 05:00:00+00:00,2021-05-19 04:59:59+00:00,America/Chicago,604799,academic,"['academic', 'exam', 'online-session']",US,64,,,5183.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:36+00:00,2021-02-22 03:56:22+00:00,,,The University of Texas at Austin,-97.734057,30.284918,exam,online-session,not_estimated,True
JhEmjWeobyrEXNFFCx,Spring Break,,2021-03-13 06:00:00+00:00,2021-03-22 04:59:59+00:00,America/Chicago,773999,academic,"['academic', 'holiday']",US,58,,,2419.0,"[{'entity_id': '7pWU6Pnc6keuabbSNYFqNu', 'name': 'Austin Community College - Highland Campus', 'type': 'venue', 'formatted_address': '6101 Highland Campus Drive\nAustin, TX 78752\nUnited States of America'}]","[-97.713765, 30.326983]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4669623'], ['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 21:58:05+00:00,2020-10-07 12:44:08+00:00,,,Austin Community College - Highland Campus,-97.713765,30.326983,holiday,in-person,not_estimated,False
SsviwrvwE46aekaGa2,Spring Break,,2021-03-13 06:00:00+00:00,2021-03-22 04:59:59+00:00,America/Chicago,773999,academic,"['academic', 'holiday']",US,84,,,51831.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:35+00:00,2020-11-10 01:48:28+00:00,,,The University of Texas at Austin,-97.734057,30.284918,holiday,in-person,not_estimated,False
6gWYWLnhsiYPvXgdE8,Spring Session,,2021-01-19 06:00:00+00:00,2021-05-08 04:59:59+00:00,America/Chicago,9413999,academic,"['academic', 'academic-session', 'online-session']",US,64,,,5183.0,"[{'entity_id': 'VG9bPvYp7gnnWkYtmnRdCb', 'name': 'The University of Texas at Austin', 'type': 'venue', 'formatted_address': 'Austin, TX 78712\nUnited States of America'}]","[-97.734057, 30.284918]","[['6295630', '6255149', '6252001', '4736286', '4737316', '4671654']]",locality,1.0,active,2019-10-31 22:01:35+00:00,2021-02-22 03:55:55+00:00,,,The University of Texas at Austin,-97.734057,30.284918,academic-session,online-session,not_estimated,True
