id,title,category,description,duration,start,end,predicted_end,first_seen,labels,location,place_hierarchies,timezone,entities,phq_attendance,rank,local_rank,aviation_rank
VsAjqFJw2mVVuAboVP,Spring Fling,expos,known to be the largest and the most important show for the professionals and dealers who trade in outdoor furnishing accessories. The attendees coming from all over the world will get to interact with the experts in this segment which results in widen the respective marketing networks and increasing the surplus levels.,259199,2020-09-03 05:00:00+00:00,2020-09-06 04:59:59+00:00,,2020-04-10 10:36:12+00:00,"['business', 'expo']","[-87.619426, 41.889885]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'V2VNzDg247MEdfJuei6brH', 'name': 'Loews Chicago Hotel', 'type': 'venue', 'formatted_address': '455 North Park Drive\nChicago, IL 60611\nUnited States of America'}]",3360,61,66,47.0
Y5LV8BvgyVGPMXeJUn,CISO Chicago Summit,conferences,,32400,2020-03-12 14:00:00+00:00,2020-03-12 23:00:00+00:00,,2019-12-05 23:02:18+00:00,"['conference', 'education', 'technology']","[-87.628349, 41.879611]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'dDcqNjvVjgzE8j7GN7ty5k', 'name': 'Convene', 'type': 'venue', 'formatted_address': '131 South Dearborn St, 2nd Floor\nChicago, IL 60603\nUnited States of America'}]",5000,64,72,0.0
iPkKX9AmExmbMkA7gS,Marquette Golden Eagles vs DePaul Blue Demons,sports,,0,2020-03-10 00:00:00+00:00,2020-03-10 00:00:00+00:00,2020-03-10 01:35:00+00:00,2020-01-02 18:15:16+00:00,"['basketball', 'ncaa', 'sport']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",4201,62,74,0.0
XBHBMRQTVaG6zDjXQR,St. John´s Red Storm vs Marquette Golden Eagles,sports,,0,2020-03-09 00:30:00+00:00,2020-03-09 00:30:00+00:00,2020-03-09 02:05:00+00:00,2020-03-08 18:01:44+00:00,"['basketball', 'ncaa', 'sport']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",6147,66,77,0.0
hKgM2Wk5Eirt9JppJQ,Seton Hall Pirates vs DePaul Blue Demons,sports,,0,2020-03-08 22:00:00+00:00,2020-03-08 22:00:00+00:00,2020-03-08 23:35:00+00:00,2020-01-04 02:56:33+00:00,"['basketball', 'ncaa', 'sport']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",5943,65,77,0.0
EK2pGUQAMXc6yhmNjd,Creighton Bluejays vs St. John´s Red Storm,sports,,0,2020-03-08 02:30:00+00:00,2020-03-08 02:30:00+00:00,2020-03-08 04:05:00+00:00,2020-03-03 18:02:06+00:00,"['basketball', 'ncaa', 'sport']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",5930,65,77,0.0
yvpag8xCRKuMnJYUEF,Villanova Wildcats vs Marquette Golden Eagles,sports,,0,2020-03-08 00:00:00+00:00,2020-03-08 00:00:00+00:00,2020-03-08 01:35:00+00:00,2019-12-31 18:12:22+00:00,"['basketball', 'ncaa', 'sport']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",5685,65,76,0.0
LCAm7xZceXyHkTEYwi,Butler Bulldogs vs Seton Hall Pirates,sports,,0,2020-03-07 20:30:00+00:00,2020-03-07 20:30:00+00:00,2020-03-07 22:05:00+00:00,2020-03-03 18:01:49+00:00,"['basketball', 'ncaa', 'sport']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",5691,65,76,0.0
2S7sa6rFVDa4vaNkLc,Providence Friars vs DePaul Blue Demons,sports,,0,2020-03-07 18:00:00+00:00,2020-03-07 18:00:00+00:00,2020-03-07 19:35:00+00:00,2020-01-04 03:07:20+00:00,"['basketball', 'ncaa', 'sport']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",5197,64,75,0.0
BKH3uwkVzU3PKRug9L,Carl Cox,concerts,,0,2020-03-07 04:00:00+00:00,2020-03-07 04:00:00+00:00,,2019-12-12 19:11:55+00:00,"['concert', 'music']","[-87.6426, 41.8527]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'YGGehXM8XyDXqfusXUTuNs', 'name': 'Radius', 'type': 'venue', 'formatted_address': '640 West Cermak Road\nChicago, IL 60616\nUnited States of America'}]",3800,62,74,0.0
