id,title,category,description,duration,start,end,predicted_end,first_seen,labels,location,place_hierarchies,timezone,entities,phq_attendance,rank,local_rank,aviation_rank
TJuqKutFtmpirSSEro,C2E2,expos,"C2E2 stands for the Chicago Comic and Entertainment Expo. It’s the largest pop culture convention in the Midwest. C2E2 espouses that all nerds need a place to call home. Whether you’re a fan of comic books, cosplay, video games, anime, TV shows, movies, books, wrestling, comedy, or anything else – C2E2 is your home for good and geeky times.",259199,2021-12-10 06:00:00+00:00,2021-12-13 05:59:59+00:00,,2021-02-02 01:56:31+00:00,"['comic', 'entertainment', 'expo', 'gaming']","[-87.617028, 41.85122]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'zz65ptRjmKD8A3zqTUhKHf', 'name': 'McCormick Place', 'type': 'venue', 'formatted_address': '2301 South King Drive\nChicago, IL 60616\nUnited States of America'}]",90000,89,100,65
fhtNRD65bAYfupiMKQ,CSS & Seed Expo,expos,"The CSS & Seed Expo aims to be an effective voice of action in all matters concerning the development, marketing and movement of seed, associated products and services throughout the world. It promotes the development of better seed to produce better crops for a better quality of life.",345599,2021-12-06 06:00:00+00:00,2021-12-10 05:59:59+00:00,,2020-11-01 22:38:34+00:00,"['agriculture', 'expo']","[-87.63678, 41.884468]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'rBqH7gVRFkmjYCsXb9kEN9', 'name': 'Hyatt Regency Chicago', 'type': 'venue', 'formatted_address': '151 North Wacker Drive\nChicago, IL 60606\nUnited States of America'}]",3000,60,69,51
4bAQWorBPdShC6DSXK,Midwest Furfest,expos,,205200,2021-12-03 15:00:00+00:00,2021-12-06 00:00:00+00:00,,2021-03-19 07:34:25+00:00,"['animal', 'expo']","[-87.860498, 41.979255]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4908179']]",America/Chicago,"[{'entity_id': 'xACmPxB2DHM3Vev88KGVCD', 'name': 'Donald E. Stephens Convention Center', 'type': 'venue', 'formatted_address': '5555 North River Road\nRosemont, IL 60018\nUnited States of America'}]",5000,64,81,51
nzVdU3wnSzUtU6bGPf,Windy City Podiatry Conference,conferences,"The Windy City Podiatry Conference is a non-profit platform whose mission is to be a supportive, global network of members, colleagues and friends, which enhances the quality of life for patients with foot, ankle and leg disorders through innovative education, research and service.",259199,2021-12-03 06:00:00+00:00,2021-12-06 05:59:59+00:00,,2020-11-09 03:52:53+00:00,"['conference', 'health', 'medical', 'seminar']","[-88.03489, 42.029549]","[['6295630', '6255149', '6252001', '4896861', '4890213', '4916288'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4896075']]",America/Chicago,"[{'entity_id': 'dku27ZvyqAZZtQQdRQRvjy', 'name': 'Chicago Marriott Schaumburg', 'type': 'venue', 'formatted_address': '50 N Martingale Rd\nSchaumburg, IL 60173'}]",1000,50,73,42
pJhaxZb67FfjGLRV62,American Epilepsy Society Annual Meeting,conferences,"The AES Annual Meeting offers high-quality educational programming across diverse work settings, professional roles, and experience levels",431999,2021-12-03 06:00:00+00:00,2021-12-08 05:59:59+00:00,,2019-06-17 02:07:53+00:00,"['conference', 'education', 'health', 'medical']","[-87.617028, 41.85122]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'zz65ptRjmKD8A3zqTUhKHf', 'name': 'McCormick Place', 'type': 'venue', 'formatted_address': '2301 South King Drive\nChicago, IL 60616\nUnited States of America'}, {'entity_id': '7ckbfjckRLhfbq84ZdXtZ', 'name': 'American Epilepsy Society Annual Meeting', 'type': 'event-group', 'formatted_address': None}]",5000,64,75,55
qfbeUT3ofjCsDSKeM2,One of a Kind Holiday Show,expos,"A one-of-a-kind shopping experience that supports the creative community and hundreds of talented artists, makers and designers. Shop handmade products from various talented artists while you enjoy some food and entertainment.",345599,2021-12-02 06:00:00+00:00,2021-12-06 05:59:59+00:00,,2021-01-06 00:17:29+00:00,"['entertainment', 'expo', 'food', 'sales']","[-87.635444, 41.888543]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': '7dNTrX9RxKZMvkSGiNynMp', 'name': 'The Mart', 'type': 'venue', 'formatted_address': '222 West Merchandise Mart Plaza #470\nChicago, IL 60654\nUnited States of America'}]",20000,76,85,61
x7gRbcWhdoRYG9cy7q,Radiological Society of North America - Scientific Assembly and Meeting,conferences,,378000,2021-11-28 15:00:00+00:00,2021-12-03 00:00:00+00:00,,2020-01-16 05:10:22+00:00,"['conference', 'health', 'medical', 'science']","[-87.617028, 41.85122]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'zz65ptRjmKD8A3zqTUhKHf', 'name': 'McCormick Place', 'type': 'venue', 'formatted_address': '2301 South King Drive\nChicago, IL 60616\nUnited States of America'}]",5000,64,75,58
cDajhpFsPSuXNXMYnT,RSNA Annual Meeting,conferences,"The Radiological Society of North America Scientific Assembly and Annual Meeting convenes radiology professionals from around the globe to gather knowledge through educational courses, explore the latest innovations presented by technical exhibitors, discover groundbreaking research from scientific paper presentations, and participate in networking opportunities.",518399,2021-11-28 06:00:00+00:00,2021-12-04 05:59:59+00:00,,2019-05-22 23:35:54+00:00,"['conference', 'health', 'medical', 'technology']","[-87.617028, 41.85122]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'zz65ptRjmKD8A3zqTUhKHf', 'name': 'McCormick Place', 'type': 'venue', 'formatted_address': '2301 South King Drive\nChicago, IL 60616\nUnited States of America'}, {'entity_id': '7dGkwcpZmHpsdSgE32Ribr', 'name': 'RSNA Annual Meeting', 'type': 'event-group', 'formatted_address': None}]",50252,84,95,93
pmT3hswY5JBA6GAqvp,Muscle Car & Corvette Nationals,expos,"Muscle Car & Corvette Nationals, we provide the ultimate gathering place for enthusiasts, young and old, who have a passion for horsepower. We host this indoor showcase for the cars that have become a part of our lives and to provide a place to revive past memories and friendships while opening the door to many new memories and friendships.",172799,2021-11-20 06:00:00+00:00,2021-11-22 05:59:59+00:00,,2019-12-13 19:49:56+00:00,"['automotive', 'expo']","[-87.860498, 41.979255]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4908179']]",America/Chicago,"[{'entity_id': 'xACmPxB2DHM3Vev88KGVCD', 'name': 'Donald E. Stephens Convention Center', 'type': 'venue', 'formatted_address': '5555 North River Road\nRosemont, IL 60018\nUnited States of America'}]",4000,62,79,48
VkeRjLionsL95su3Em,PLMA Live! Privates Label Week,expos,"The expo aims to give access to the growing private label market in US and Canada, where retailers and wholesalers could source their private label programs from food, snacks and beverages to household to general merchandise, and more!",259199,2021-11-14 06:00:00+00:00,2021-11-17 05:59:59+00:00,,2020-10-18 23:51:37+00:00,"['business', 'expo']","[-87.860498, 41.979255]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4908179']]",America/Chicago,"[{'entity_id': 'xACmPxB2DHM3Vev88KGVCD', 'name': 'Donald E. Stephens Convention Center', 'type': 'venue', 'formatted_address': '5555 North River Road\nRosemont, IL 60018\nUnited States of America'}]",5000,64,81,46
