id,title,category,description,duration,start,end,predicted_end,first_seen,labels,location,place_hierarchies,timezone,entities,phq_attendance,rank,local_rank,aviation_rank
2KD2E9RFmjUDLVbbbR,Cleveland Cavaliers vs Chicago Bulls,sports,,0,2021-03-25 00:00:00+00:00,2021-03-25 00:00:00+00:00,2021-03-25 02:20:00+00:00,2021-02-26 01:35:33+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",2409,58,69,0.0
UiBTMDqpNqnFwmW9k9,Utah Jazz vs Chicago Bulls,sports,,0,2021-03-23 01:00:00+00:00,2021-03-23 01:00:00+00:00,2021-03-23 03:20:00+00:00,2021-02-26 01:33:46+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",2582,58,70,0.0
jsZrw6eD9jLxjHUPeC,San Antonio Spurs vs Chicago Bulls,sports,,8351,2021-03-18 00:00:00+00:00,2021-03-18 02:19:11+00:00,,2021-02-26 01:20:03+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",2360,57,69,0.0
FjYqp3HW9HwcSbizCJ,Oklahoma City Thunder vs Chicago Bulls,sports,,8090,2021-03-17 00:00:00+00:00,2021-03-17 02:14:50+00:00,,2021-02-26 01:19:14+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",2402,58,69,0.0
pDQuqaHLBFNSqXASYQ,Toronto Raptors vs Chicago Bulls,sports,,8296,2021-03-15 01:00:00+00:00,2021-03-15 03:18:16+00:00,,2021-02-26 01:20:57+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",2503,58,69,0.0
QhwWCZhcfn2N9PFguK,Miami Heat vs Chicago Bulls,sports,,7841,2021-03-13 02:00:00+00:00,2021-03-13 04:10:41+00:00,,2021-02-26 01:21:39+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",2558,58,70,0.0
DV85sXE2ZPVWhcTtDD,Philadelphia 76ers vs Chicago Bulls,sports,,7927,2021-03-12 01:00:00+00:00,2021-03-12 03:12:07+00:00,,2021-02-26 01:21:41+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",2394,58,69,0.0
YVnC5hYhjRABUFqmHk,Houston Rockets vs Chicago Bulls,sports,,8587,2020-12-14 01:00:00+00:00,2020-12-14 03:23:07+00:00,,2020-11-28 15:11:32+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",2086,56,68,0.0
vnkccnqDqiwzBYW7Sq,Houston Rockets vs Chicago Bulls,sports,,8396,2020-12-12 01:00:00+00:00,2020-12-12 03:19:56+00:00,,2020-11-28 15:11:31+00:00,"['basketball', 'nba', 'sport']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",1854,55,67,0.0
VsAjqFJw2mVVuAboVP,Spring Fling,expos,known to be the largest and the most important show for the professionals and dealers who trade in outdoor furnishing accessories. The attendees coming from all over the world will get to interact with the experts in this segment which results in widen the respective marketing networks and increasing the surplus levels.,259199,2020-09-03 05:00:00+00:00,2020-09-06 04:59:59+00:00,,2020-04-10 10:36:12+00:00,"['business', 'expo']","[-87.619426, 41.889885]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'V2VNzDg247MEdfJuei6brH', 'name': 'Loews Chicago Hotel', 'type': 'venue', 'formatted_address': '455 North Park Drive\nChicago, IL 60611\nUnited States of America'}]",3360,61,66,47.0
