date,demand
2017-10-02,3950
2017-10-03,3679
2017-10-04,3517
2017-10-05,1787
2017-10-06,1359
2017-10-07,1430
2017-10-08,1319
2017-10-09,1419
2017-10-10,1647
2017-10-11,2038
2017-10-12,2288
2017-10-13,1613
2017-10-14,1811
2017-10-15,1414
2017-10-16,1451
2017-10-17,1727
2017-10-18,1915
2017-10-19,1750
2017-10-20,1516
2017-10-21,1703
2017-10-22,1461
2017-10-23,1511
2017-10-24,1830
2017-10-25,2104
2017-10-26,2372
2017-10-27,1597
2017-10-28,1400
2017-10-29,1481
2017-10-30,1622
2017-10-31,1552
2017-11-01,1788
2017-11-02,2057
2017-11-03,2081
2017-11-04,2217
2017-11-05,2583
2017-11-06,4800
2017-11-07,4124
2017-11-08,4096
2017-11-09,2883
2017-11-10,1874
2017-11-11,1691
2017-11-12,1399
2017-11-13,1323
2017-11-14,1398
2017-11-15,1687
2017-11-16,1747
2017-11-17,2697
2017-11-18,2903
2017-11-19,1973
2017-11-20,1459
2017-11-21,1406
2017-11-22,1411
2017-11-23,1910
2017-11-24,1993
2017-11-25,1796
2017-11-26,1434
2017-11-27,1203
2017-11-28,1221
2017-11-29,1315
2017-11-30,1308
2017-12-01,1432
2017-12-02,1502
2017-12-03,1470
2017-12-04,1789
2017-12-05,1789
2017-12-06,1730
2017-12-07,1611
2017-12-08,1448
2017-12-09,1480
2017-12-10,2055
2017-12-11,2063
2017-12-12,1210
2017-12-13,1359
2017-12-14,1439
2017-12-15,1452
2017-12-16,1493
2017-12-17,1445
2017-12-18,1390
2017-12-19,1417
2017-12-20,1368
2017-12-21,1302
2017-12-22,1445
2017-12-23,1573
2017-12-24,1279
2017-12-25,2218
2017-12-26,1535
2017-12-27,1591
2017-12-28,1654
2017-12-29,1689
2017-12-30,1541
2017-12-31,1520
2018-01-01,1095
2018-01-02,1050
2018-01-03,1179
2018-01-04,1497
2018-01-05,1307
2018-01-06,1301
2018-01-07,1208
2018-01-08,1109
2018-01-09,1309
2018-01-10,1272
2018-01-11,1385
2018-01-12,1776
2018-01-13,1847
2018-01-14,1582
2018-01-15,1464
2018-01-16,1357
2018-01-17,1414
2018-01-18,1984
2018-01-19,2191
2018-01-20,2067
2018-01-21,1879
2018-01-22,1978
2018-01-23,1926
2018-01-24,1444
2018-01-25,1509
2018-01-26,1751
2018-01-27,2214
2018-01-28,2390
2018-01-29,2665
2018-01-30,2619
2018-01-31,2449
2018-02-01,2043
2018-02-02,1380
2018-02-03,1043
2018-02-04,886
2018-02-05,1178
2018-02-06,1273
2018-02-07,1449
2018-02-08,2188
2018-02-09,2217
2018-02-10,1673
2018-02-11,1288
2018-02-12,1640
2018-02-13,1671
2018-02-14,1612
2018-02-15,1382
2018-02-16,1499
2018-02-17,1598
2018-02-18,1802
2018-02-19,1561
2018-02-20,1773
2018-02-21,1555
2018-02-22,1470
2018-02-23,1461
2018-02-24,1517
2018-02-25,1167
2018-02-26,1359
2018-02-27,1625
2018-02-28,1477
2018-03-01,1346
2018-03-02,1954
2018-03-03,1843
2018-03-04,1917
2018-03-05,1987
2018-03-06,1511
2018-03-07,1436
2018-03-08,1536
2018-03-09,1494
2018-03-10,1460
2018-03-11,1468
2018-03-12,1686
2018-03-13,2119
2018-03-14,2547
2018-03-15,1711
2018-03-16,1605
2018-03-17,1725
2018-03-18,1821
2018-03-19,3144
2018-03-20,3401
2018-03-21,3578
2018-03-22,3488
2018-03-23,3013
2018-03-24,1898
2018-03-25,1893
2018-03-26,1801
2018-03-27,1974
2018-03-28,2750
2018-03-29,2682
2018-03-30,1820
2018-03-31,1678
2018-04-01,1788
2018-04-02,1593
2018-04-03,1754
2018-04-04,3286
2018-04-05,1609
2018-04-06,1380
2018-04-07,1493
2018-04-08,1640
2018-04-09,2282
2018-04-10,2397
2018-04-11,1808
2018-04-12,2133
2018-04-13,2265
2018-04-14,2028
2018-04-15,1963
2018-04-16,3020
2018-04-17,3702
2018-04-18,3569
2018-04-19,2856
2018-04-20,2097
2018-04-21,1368
2018-04-22,1180
2018-04-23,1411
2018-04-24,2398
2018-04-25,1382
2018-04-26,1567
2018-04-27,1795
2018-04-28,1708
2018-04-29,1936
2018-04-30,2262
2018-05-01,2493
2018-05-02,2061
2018-05-03,1665
2018-05-04,1696
2018-05-05,1647
2018-05-06,1683
2018-05-07,1913
2018-05-08,2635
2018-05-09,2660
2018-05-10,2401
2018-05-11,1492
2018-05-12,1289
2018-05-13,1209
2018-05-14,1517
2018-05-15,1494
2018-05-16,1605
2018-05-17,1791
2018-05-18,2742
2018-05-19,2570
2018-05-20,2527
2018-05-21,2368
2018-05-22,1460
2018-05-23,1319
2018-05-24,1356
2018-05-25,1261
2018-05-26,1159
2018-05-27,1246
2018-05-28,1011
2018-05-29,882
2018-05-30,1431
2018-05-31,1477
2018-06-01,1467
2018-06-02,1319
2018-06-03,1208
2018-06-04,1732
2018-06-05,2472
2018-06-06,2678
2018-06-07,1437
2018-06-08,1422
2018-06-09,1252
2018-06-10,1283
2018-06-11,1536
2018-06-12,1847
2018-06-13,2107
2018-06-14,1915
2018-06-15,1654
2018-06-16,1110
2018-06-17,1067
2018-06-18,1484
2018-06-19,1361
2018-06-20,1550
2018-06-21,1594
2018-06-22,1621
2018-06-23,1457
2018-06-24,1833
2018-06-25,2224
2018-06-26,2352
2018-06-27,2507
2018-06-28,1999
2018-06-29,1647
2018-06-30,1207
2018-07-01,1202
2018-07-02,1361
2018-07-03,1681
2018-07-04,997
2018-07-05,1733
2018-07-06,1751
2018-07-07,1548
2018-07-08,1318
2018-07-09,1692
2018-07-10,2657
2018-07-11,2582
2018-07-12,2292
2018-07-13,1574
2018-07-14,1283
2018-07-15,1430
2018-07-16,1484
2018-07-17,1472
2018-07-18,1533
2018-07-19,1842
2018-07-20,1847
2018-07-21,1786
2018-07-22,1881
2018-07-23,2199
2018-07-24,2852
2018-07-25,2699
2018-07-26,2566
2018-07-27,1865
2018-07-28,1309
2018-07-29,1472
2018-07-30,1509
2018-07-31,1606
2018-08-01,1489
2018-08-02,1684
2018-08-03,1569
2018-08-04,1438
2018-08-05,1277
2018-08-06,1416
2018-08-07,1573
2018-08-08,1588
2018-08-09,2148
