date,demand
2017-10-02,1831
2017-10-03,1677
2017-10-04,1646
2017-10-05,1789
2017-10-06,2119
2017-10-07,2029
2017-10-08,1808
2017-10-09,1687
2017-10-10,1739
2017-10-11,1644
2017-10-12,1793
2017-10-13,1968
2017-10-14,1976
2017-10-15,1513
2017-10-16,1623
2017-10-17,1567
2017-10-18,1679
2017-10-19,1706
2017-10-20,1961
2017-10-21,1706
2017-10-22,1558
2017-10-23,1703
2017-10-24,1677
2017-10-25,1702
2017-10-26,1817
2017-10-27,1885
2017-10-28,1875
2017-10-29,1528
2017-10-30,1578
2017-10-31,1548
2017-11-01,1688
2017-11-02,1782
2017-11-03,1907
2017-11-04,2001
2017-11-05,1672
2017-11-06,1684
2017-11-07,1612
2017-11-08,1632
2017-11-09,1690
2017-11-10,2267
2017-11-11,1962
2017-11-12,1544
2017-11-13,1622
2017-11-14,1577
2017-11-15,1637
2017-11-16,1781
2017-11-17,2017
2017-11-18,2224
2017-11-19,1614
2017-11-20,1677
2017-11-21,1605
2017-11-22,1734
2017-11-23,1907
2017-11-24,3353
2017-11-25,2344
2017-11-26,1543
2017-11-27,1624
2017-11-28,1420
2017-11-29,1686
2017-11-30,1610
2017-12-01,2516
2017-12-02,2225
2017-12-03,1853
2017-12-04,1671
2017-12-05,1805
2017-12-06,1685
2017-12-07,1984
2017-12-08,2238
2017-12-09,2638
2017-12-10,2370
2017-12-11,1754
2017-12-12,2046
2017-12-13,1959
2017-12-14,2027
2017-12-15,2292
2017-12-16,2608
2017-12-17,2171
2017-12-18,2186
2017-12-19,2003
2017-12-20,2619
2017-12-21,2555
2017-12-22,2754
2017-12-23,2808
2017-12-24,2120
2017-12-25,2103
2017-12-26,2275
2017-12-27,2164
2017-12-28,2103
2017-12-29,1881
2017-12-30,2317
2017-12-31,1898
2018-01-01,1871
2018-01-02,1752
2018-01-03,1720
2018-01-04,1681
2018-01-05,1765
2018-01-06,1686
2018-01-07,1262
2018-01-08,1431
2018-01-09,1484
2018-01-10,1635
2018-01-11,1512
2018-01-12,1678
2018-01-13,1887
2018-01-14,1590
2018-01-15,1695
2018-01-16,1539
2018-01-17,1484
2018-01-18,1597
2018-01-19,1803
2018-01-20,2552
2018-01-21,1221
2018-01-22,1518
2018-01-23,1415
2018-01-24,1605
2018-01-25,1674
2018-01-26,1719
2018-01-27,1734
2018-01-28,1362
2018-01-29,1545
2018-01-30,1675
2018-01-31,1624
2018-02-01,1538
2018-02-02,1799
2018-02-03,1703
2018-02-04,1118
2018-02-05,1536
2018-02-06,1639
2018-02-07,1733
2018-02-08,1649
2018-02-09,1824
2018-02-10,2048
2018-02-11,1598
2018-02-12,1645
2018-02-13,1650
2018-02-14,1622
2018-02-15,1706
2018-02-16,1728
2018-02-17,1950
2018-02-18,1555
2018-02-19,1651
2018-02-20,1704
2018-02-21,1761
2018-02-22,1858
2018-02-23,1823
2018-02-24,1787
2018-02-25,1279
2018-02-26,1500
2018-02-27,1514
2018-02-28,1574
2018-03-01,1775
2018-03-02,2059
2018-03-03,2239
2018-03-04,1696
2018-03-05,1521
2018-03-06,1670
2018-03-07,1690
2018-03-08,1598
2018-03-09,1822
2018-03-10,2085
2018-03-11,1542
2018-03-12,1737
2018-03-13,1612
2018-03-14,1761
2018-03-15,1833
2018-03-16,1912
2018-03-17,2234
2018-03-18,1533
2018-03-19,1664
2018-03-20,1773
2018-03-21,1770
2018-03-22,1823
2018-03-23,1947
2018-03-24,2447
2018-03-25,1648
2018-03-26,2014
2018-03-27,1885
2018-03-28,1932
2018-03-29,2009
2018-03-30,2117
2018-03-31,2251
2018-04-01,1405
2018-04-02,1780
2018-04-03,1906
2018-04-04,1815
2018-04-05,1882
2018-04-06,1948
2018-04-07,1960
2018-04-08,1430
2018-04-09,1740
2018-04-10,1692
2018-04-11,1676
2018-04-12,1819
2018-04-13,1745
2018-04-14,1735
2018-04-15,1430
2018-04-16,1529
2018-04-17,1716
2018-04-18,1869
2018-04-19,1898
2018-04-20,1913
2018-04-21,1969
2018-04-22,1564
2018-04-23,1689
2018-04-24,1769
2018-04-25,1966
2018-04-26,2021
2018-04-27,2039
2018-04-28,1981
2018-04-29,1657
2018-04-30,1765
2018-05-01,1273
2018-05-02,2015
2018-05-03,2177
2018-05-04,2101
2018-05-05,2105
2018-05-06,1795
2018-05-07,1938
2018-05-08,1876
2018-05-09,1846
2018-05-10,2037
2018-05-11,1993
2018-05-12,2267
2018-05-13,1818
2018-05-14,1916
2018-05-15,1879
2018-05-16,1948
2018-05-17,2116
2018-05-18,2143
2018-05-19,2174
2018-05-20,1828
2018-05-21,2045
2018-05-22,2179
2018-05-23,2217
2018-05-24,2114
2018-05-25,2133
2018-05-26,2288
2018-05-27,2096
2018-05-28,1890
2018-05-29,1238
2018-05-30,1990
2018-05-31,2006
2018-06-01,2063
2018-06-02,1438
2018-06-03,1585
2018-06-04,1809
2018-06-05,1925
2018-06-06,1916
2018-06-07,2116
2018-06-08,1995
2018-06-09,2190
2018-06-10,1842
2018-06-11,1994
2018-06-12,1897
2018-06-13,1837
2018-06-14,2111
2018-06-15,2231
2018-06-16,2291
2018-06-17,2054
2018-06-18,2099
2018-06-19,2129
2018-06-20,2147
2018-06-21,2240
2018-06-22,2297
2018-06-23,2300
2018-06-24,2772
2018-06-25,2089
2018-06-26,2029
2018-06-27,2071
2018-06-28,2058
