date,demand
2017-01-01,18157.98
2017-01-02,28765.93
2017-01-03,15108.91
2017-01-04,13826.9
2017-01-05,12387.65
2017-01-06,13787.51
2017-01-07,14826.86
2017-01-08,20687.09
2017-01-09,9323.23
2017-01-10,11158.78
2017-01-11,9413.46
2017-01-12,11421.62
2017-01-13,15111.43
2017-01-14,20278.64
2017-01-15,22507.23
2017-01-16,18402.08
2017-01-17,8739.77
2017-01-18,8503.89
2017-01-19,9472.03
2017-01-20,8103.67
2017-01-21,21870.4
2017-01-22,19058.72
2017-01-23,6368.52
2017-01-24,10248.19
2017-01-25,10931.4
2017-01-26,10277.22
2017-01-27,10894.69
2017-01-28,22180.38
2017-01-29,18783.29
2017-01-30,10859.75
2017-01-31,8268.17
2017-02-01,9910.74
2017-02-02,8840.03
2017-02-03,9552.34
2017-02-04,20255.84
2017-02-05,16259.8
2017-02-06,7983.76
2017-02-07,9899.15
2017-02-08,12072.82
2017-02-09,8382.53
2017-02-10,16579.14
2017-02-11,27436.83
2017-02-12,24713.72
2017-02-13,18496.9
2017-02-14,14520.48
2017-02-15,8527.11
2017-02-16,11461.73
2017-02-17,14920.65
2017-02-18,27800.2
2017-02-19,22585.33
2017-02-20,24351.87
2017-02-21,10256.68
2017-02-22,11975.85
2017-02-23,14620.53
2017-02-24,17426.45
2017-02-25,29027.96
2017-02-26,22995.6
2017-02-27,9667.84
2017-02-28,8388.96
2017-03-01,9627.26
2017-03-02,11166.77
2017-03-03,14504.28
2017-03-04,29159.67
2017-03-05,26438.32
2017-03-06,9378.55
2017-03-07,8493.79
2017-03-08,8197.32
2017-03-09,9536.03
2017-03-10,15552.13
2017-03-11,27178.91
2017-03-12,22196.25
2017-03-13,12347.5
2017-03-14,8907.56
2017-03-15,13503.75
2017-03-16,13921.43
2017-03-17,18376.64
2017-03-18,31216.04
2017-03-19,31234.1
2017-03-20,12345.67
2017-03-21,14442.88
2017-03-22,12640.18
2017-03-23,11846.3
2017-03-24,16682.11
2017-03-25,29080.04
2017-03-26,25508.25
2017-03-27,10235.83
2017-03-28,12379.72
2017-03-29,15061.26
2017-03-30,14831.48
2017-03-31,15452.29
2017-04-01,35094.89
2017-04-02,29485.31
2017-04-03,13626.42
2017-04-04,14705.09
2017-04-05,14049.38
2017-04-06,12121.4
2017-04-07,17083.08
2017-04-08,30460.45
2017-04-09,28079.14
2017-04-10,21366.67
2017-04-11,23135.19
2017-04-12,26193.18
2017-04-13,24790.5
2017-04-14,27931.47
2017-04-15,33948.37
2017-04-16,100
2017-04-17,28202.51
2017-04-18,19073.94
2017-04-19,14800.01
2017-04-20,13826.49
2017-04-21,16567.56
2017-04-22,29250.75
2017-04-23,26304.17
2017-04-24,12826.55
2017-04-25,10227.35
2017-04-26,11292.23
2017-04-27,12656.97
2017-04-28,16207.1
2017-04-29,32521.31
2017-04-30,25869.75
2017-05-01,10757.01
2017-05-02,9626.18
2017-05-03,12348.65
2017-05-04,11685.18
2017-05-05,12840.63
2017-05-06,26336.72
2017-05-07,24064.25
2017-05-08,12232.7
2017-05-09,14815.15
2017-05-10,14619.81
2017-05-11,15461.29
2017-05-12,20481.3
2017-05-13,30762.05
2017-05-14,23603
2017-05-15,14906.48
2017-05-16,12278.2
2017-05-17,14514.09
2017-05-18,14154.63
2017-05-19,18366.09
2017-05-20,33072.47
2017-05-21,24771.21
2017-05-22,10931.96
2017-05-23,12529.68
2017-05-24,12368.23
2017-05-25,16987.67
2017-05-26,23108.82
2017-05-27,34405.26
2017-05-28,34282.43
2017-05-29,43376.54
2017-05-30,12435.18
2017-05-31,12448.17
2017-06-01,12177.67
2017-06-02,17617.67
2017-06-03,22834.86
2017-06-04,24435.22
2017-06-05,10770.23
2017-06-06,11726.82
2017-06-07,13119.34
2017-06-08,16804.6
2017-06-09,16487.92
2017-06-10,26901.12
2017-06-11,23846.25
2017-06-12,18551.26
2017-06-13,18358.69
2017-06-14,18429.78
2017-06-15,19453.59
2017-06-16,23905.73
2017-06-17,37986.34
2017-06-18,27047.19
2017-06-19,18019.25
2017-06-20,17091.66
2017-06-21,16416.12
2017-06-22,17731.59
2017-06-23,21665.3
2017-06-24,29698.1
2017-06-25,24367.41
2017-06-26,18771.64
2017-06-27,15468.15
2017-06-28,19272.57
2017-06-29,19807.27
2017-06-30,21287.16
2017-07-01,28551.03
2017-07-02,27641.17
2017-07-03,29432.88
2017-07-04,22523.88
2017-07-05,16765.36
2017-07-06,15055.06
2017-07-07,20031.66
2017-07-08,24926.62
2017-07-09,25379.89
2017-07-10,16148.24
2017-07-11,14256
2017-07-12,16354.99
2017-07-13,16330.48
2017-07-14,21429.53
2017-07-15,28546.19
2017-07-16,26916.63
2017-07-17,18520.24
2017-07-18,18683.04
2017-07-19,16934.15
2017-07-20,15839.22
2017-07-21,22008.72
2017-07-22,29563.56
2017-07-23,28092.94
2017-07-24,16897.21
2017-07-25,16352.33
2017-07-26,20578.38
2017-07-27,18217.21
2017-07-28,17898.69
2017-07-29,30233.25
2017-07-30,26320.56
2017-07-31,18174.93
2017-08-01,17634.76
2017-08-02,17095.66
2017-08-03,19032.38
2017-08-04,21881.46
2017-08-05,35322.53
2017-08-06,28580.53
2017-08-07,22880.77
2017-08-08,20608.6
2017-08-09,18638.31
2017-08-10,20532.37
2017-08-11,21623.19
2017-08-12,31667.89
2017-08-13,27853.27
2017-08-14,21980.47
2017-08-15,23023.39
2017-08-16,21169.98
2017-08-17,20946.13
2017-08-18,25032.35
2017-08-19,33846.31
2017-08-20,31387.77
2017-08-21,23964.54
2017-08-22,23562.39
2017-08-23,21434.83
2017-08-24,22303.2
2017-08-25,26116.28
2017-08-26,38022.78
