date,demand
2019-01-01,4159.507
2019-01-02,5682.666
2019-01-03,6166.336
2019-01-04,5784.185
2019-01-05,4723.961
2019-01-06,3350.138
2019-01-07,4458.586
2019-01-08,4943.565
2019-01-09,4793.899
2019-01-10,4952.046
2019-01-11,4503.213
2019-01-12,3573.471
2019-01-13,2929.443
2019-01-14,4161.201
2019-01-15,4219.743
2019-01-16,4785.506
2019-01-17,5069.328
2019-01-18,5296.104
2019-01-19,4334.935
2019-01-20,3148.101
2019-01-21,4225.551
2019-01-22,4165.183
2019-01-23,4595.448
2019-01-24,4215.629
2019-01-25,4239.477
2019-01-26,3889.974
2019-01-27,2760.923
2019-01-28,4070.792
2019-01-29,5205.376
2019-01-30,4498.329
2019-01-31,4682.92
2019-02-01,4962.859
2019-02-02,4151.4
2019-02-03,3544.31
2019-02-04,3859.427
2019-02-05,4723.455
2019-02-06,4110.843
2019-02-07,5152.037
2019-02-08,5401.143
2019-02-09,5161.596
2019-02-10,3930.894
2019-02-11,4241.688
2019-02-12,4962.903
2019-02-13,4757.148
2019-02-14,4414.982
2019-02-15,4518.943
2019-02-16,4120.545
2019-02-17,3364.471
2019-02-18,3911.512
2019-02-19,4277.669
2019-02-20,4334
2019-02-21,4688.783
2019-02-22,5044.303
2019-02-23,4552.438
2019-02-24,3755.642
2019-02-25,4189.504
2019-02-26,5474.788
2019-02-27,5340.951
2019-02-28,5475.415
2019-03-01,5687.22
2019-03-02,4727.855
2019-03-03,4048.737
2019-03-04,4064.17
2019-03-05,5105.023
2019-03-06,4353.976
2019-03-07,5086.829
2019-03-08,5089.249
2019-03-09,4487.769
2019-03-10,3250.445
2019-03-11,3820.19
2019-03-12,4451.381
2019-03-13,4316.895
2019-03-14,5235.494
2019-03-15,4951.012
2019-03-16,5299.965
2019-03-17,3666.289
2019-03-18,4813.325
2019-03-19,4793.503
2019-03-20,5015.076
2019-03-21,4702.885
2019-03-22,5073.2
2019-03-23,4232.349
2019-03-24,4049.628
2019-03-25,4802.787
2019-03-26,5339.356
2019-03-27,5009.455
2019-03-28,4661.283
2019-03-29,5416.807
2019-03-30,4623.014
2019-03-31,4155.514
2019-04-01,4713.17
2019-04-02,4670.732
2019-04-03,4452.448
2019-04-04,4758.006
2019-04-05,5021.511
2019-04-06,4707.604
2019-04-07,4160.134
2019-04-08,4271.817
2019-04-09,4880.568
2019-04-10,5315.794
2019-04-11,5357.154
2019-04-12,5008.641
2019-04-13,5159.528
2019-04-14,4328.918
2019-04-15,4077.546
2019-04-16,4626.743
2019-04-17,5344.658
2019-04-18,4818.671
2019-04-19,5741.142
2019-04-20,4001.789
2019-04-21,3295.952
2019-04-22,3985.091
2019-04-23,5258.836
2019-04-24,4778.972
2019-04-25,5557.915
2019-04-26,5344.295
2019-04-27,5063.256
2019-04-28,5051.926
2019-04-29,4548.852
2019-04-30,4865.19
2019-05-01,4618.438
2019-05-02,4604.996
2019-05-03,5321.91
2019-05-04,4468.497
2019-05-05,3506.382
2019-05-06,4672.569
2019-05-07,4700.124
2019-05-08,4469.047
2019-05-09,5175.093
2019-05-10,4919.662
2019-05-11,4024.383
2019-05-12,4051.553
2019-05-13,4231.865
2019-05-14,4757.951
2019-05-15,4722.52
2019-05-16,4886.541
2019-05-17,5060.341
2019-05-18,4789.84
2019-05-19,3715.525
2019-05-20,4952.409
2019-05-21,4758.941
2019-05-22,4533.419
2019-05-23,4664.088
2019-05-24,4707.659
2019-05-25,4034.624
2019-05-26,3460.787
2019-05-27,4746.302
2019-05-28,4862.528
2019-05-29,5418.017
2019-05-30,4982.208
2019-05-31,5054.434
2019-06-01,4188.723
2019-06-02,3682.129
2019-06-03,4337.905
2019-06-04,4941.387
2019-06-05,4865.113
2019-06-06,5638.809
2019-06-07,5115.858
2019-06-08,4191.165
2019-06-09,3583.327
2019-06-10,4259.079
2019-06-11,4821.135
2019-06-12,5238.189
2019-06-13,4933.83
2019-06-14,5001.227
2019-06-15,4748.689
2019-06-16,3621.288
2019-06-17,4261.114
2019-06-18,4776.596
2019-06-19,4710.915
2019-06-20,5033.402
2019-06-21,5074.322
2019-06-22,4829.407
2019-06-23,3655.256
2019-06-24,4182.31
2019-06-25,4659.655
2019-06-26,4676.364
2019-06-27,5425.387
2019-06-28,6150.276
2019-06-29,5232.711
2019-06-30,3600.454
2019-07-01,4202.242
2019-07-02,4621.672
2019-07-03,4541.416
2019-07-04,4738.459
2019-07-05,4589.794
2019-07-06,3735.732
2019-07-07,3268.518
2019-07-08,3966.435
2019-07-09,4599.727
2019-07-10,4687.298
2019-07-11,6066.588
2019-07-12,5114.714
2019-07-13,4883.219
2019-07-14,3580.192
2019-07-15,4032.49
2019-07-16,4441.602
2019-07-17,4344.769
2019-07-18,4575.604
2019-07-19,4702.06
2019-07-20,3854.796
2019-07-21,3333.154
2019-07-22,3905.88
2019-07-23,4431.955
2019-07-24,4385.392
2019-07-25,4689.652
2019-07-26,4732.266
2019-07-27,3953.983
2019-07-28,3490.179
2019-07-29,4074.84
2019-07-30,4618.108
2019-07-31,4618.372
2019-08-01,5035.558
2019-08-02,5099.996
2019-08-03,4865.718
2019-08-04,3707.473
2019-08-05,4201.67
2019-08-06,4460.104
2019-08-07,4345.275
2019-08-08,4657.642
2019-08-09,4726.37
2019-08-10,4883.89
2019-08-11,3420.362
2019-08-12,3996.993
2019-08-13,4587.308
2019-08-14,6302.417
2019-08-15,7728.688
2019-08-16,15305.796
2019-08-17,13035.297
2019-08-18,10891.089
2019-08-19,5295.829
2019-08-20,4820.717
2019-08-21,4302.782
2019-08-22,4581.808
2019-08-23,4591.345
2019-08-24,4321.856
2019-08-25,3202.474
2019-08-26,3714.953
2019-08-27,4062.85
2019-08-28,4037.11
2019-08-29,4298.987
2019-08-30,4322.395
2019-08-31,3475.901
2019-09-01,3045.207
2019-09-02,3701.038
2019-09-03,4188.14
2019-09-04,4275.04
2019-09-05,4740.56
2019-09-06,5028.177
2019-09-07,5887.937
2019-09-08,5450.181
2019-09-09,4332.856
2019-09-10,4552.185
2019-09-11,4471.533
2019-09-12,4754.112
2019-09-13,4694.503
2019-09-14,3805.428
2019-09-15,3445.475
2019-09-16,4028.563
2019-09-17,4402.871
2019-09-18,4518.459
2019-09-19,4901.193
2019-09-20,5530.745
2019-09-21,4155.965
2019-09-22,3807.859
2019-09-23,4879.094
2019-09-24,4885.683
2019-09-25,5582.192
2019-09-26,5559.928
2019-09-27,7314.45
2019-09-28,5329.39
2019-09-29,5281.034
2019-09-30,4548.962
2019-10-01,4925.602
2019-10-02,4802.446
2019-10-03,5165.424
2019-10-04,4991.052
2019-10-05,4199.712
2019-10-06,4243.404
2019-10-07,4325.75
2019-10-08,5390.099
2019-10-09,5521.824
2019-10-10,5954.146
2019-10-11,5884.087
2019-10-12,4960.109
2019-10-13,4486.702
2019-10-14,4985.046
2019-10-15,5475.151
2019-10-16,4915.493
2019-10-17,5779.081
2019-10-18,5831.925
2019-10-19,4227.388
2019-10-20,3795.011
2019-10-21,4204.497
2019-10-22,5123.943
2019-10-23,4683.349
2019-10-24,5660.93
2019-10-25,5607.217
2019-10-26,4658.632
2019-10-27,3601.455
2019-10-28,4702.082
2019-10-29,5060.968
2019-10-30,5216.321
2019-10-31,4963.112
2019-11-01,5591.795
2019-11-02,4596.009
2019-11-03,3631.199
2019-11-04,4555.804
2019-11-05,4328.269
2019-11-06,4428.424
2019-11-07,4763.165
2019-11-08,4735.192
2019-11-09,4027.254
2019-11-10,4203.991
2019-11-11,4623.421
2019-11-12,5035.778
2019-11-13,5343.415
2019-11-14,5871.415
2019-11-15,6663.877
2019-11-16,4584.778
2019-11-17,3530.604
2019-11-18,4379.595
2019-11-19,4030.873
2019-11-20,4297.535
2019-11-21,5316.399
2019-11-22,5448.751
2019-11-23,4591.994
2019-11-24,4183.784
2019-11-25,4524.388
2019-11-26,4218.126
2019-11-27,4976.62
2019-11-28,4876.608
2019-11-29,5806.977
2019-11-30,5111.744
2019-12-01,4533.298
2019-12-02,3913.613
2019-12-03,4855.279
2019-12-04,5231.941
2019-12-05,6537.278
2019-12-06,5760.59
2019-12-07,4832.399
2019-12-08,4288.185
2019-12-09,4551.778
2019-12-10,4273.94
2019-12-11,4393.147
2019-12-12,5301.219
2019-12-13,5473.105
2019-12-14,4665.584
2019-12-15,4190.395
2019-12-16,3884.716
2019-12-17,4774.341
2019-12-18,4406.05
2019-12-19,5443.372
2019-12-20,5483.269
2019-12-21,5068.844
2019-12-22,4683.118
2019-12-23,4865.41
2019-12-24,4423.782
2019-12-25,4600.233
2019-12-26,6406.84
2019-12-27,6086.311
2019-12-28,5185.466
2019-12-29,4668.4
2019-12-30,3487.396
2019-12-31,3868.92
