"geoname_id","county_name","county_fips"
4047434,Russell County,"01113"
4048080,Long County,"13183"
4048522,Boone County,"21015"
4048572,Rowan County,"21205"
4049189,Bibb County,"01007"
4050506,Campbell County,"47013"
4050633,Blount County,"01009"
4052497,Bullock County,"01011"
4052744,Butler County,"01013"
4053062,Calhoun County,"01015"
4054621,Chambers County,"01017"
4054880,Cherokee County,"01019"
4055067,Chilton County,"01021"
4055170,Choctaw County,"01023"
4055624,Clarke County,"01025"
4055660,Clay County,"01027"
4055785,Cleburne County,"01029"
4056099,Coffee County,"01031"
4056165,Colbert County,"01033"
4056592,Conecuh County,"01035"
4056809,Coosa County,"01037"
4057296,Covington County,"01039"
4057517,Crenshaw County,"01041"
4057837,Cullman County,"01043"
4058052,Dale County,"01045"
4058076,Dallas County,"01047"
4058479,DeKalb County,"01049"
4060563,Elmore County,"01051"
4060870,Escambia County,"01053"
4060938,Etowah County,"01055"
4061590,Fayette County,"01057"
4063130,Franklin County,"01059"
4063931,Geneva County,"01061"
4065243,Greene County,"01063"
4065796,Hale County,"01065"
4066911,Henry County,"01067"
4068296,Houston County,"01069"
4069472,Jackson County,"01071"
4069696,Jefferson County,"01073"
4071676,Lamar County,"01075"
4071898,Lauderdale County,"01077"
4071959,Lawrence County,"01079"
4072098,Lee County,"01081"
4072707,Limestone County,"01083"
4073885,Lowndes County,"01085"
4074246,Macon County,"01087"
4074277,Madison County,"01089"
4074590,Marengo County,"01091"
4074636,Marion County,"01093"
4074736,Marshall County,"01095"
4076607,Mobile County,"01097"
4076706,Monroe County,"01099"
4076795,Montgomery County,"01101"
4077029,Morgan County,"01103"
4082741,Perry County,"01105"
4082974,Pickens County,"01107"
4083063,Pike County,"01109"
4085418,Randolph County,"01111"
4087481,Saint Clair County,"01115"
4089551,Shelby County,"01117"
4092386,Sumter County,"01119"
4092795,Talladega County,"01121"
4092827,Tallapoosa County,"01123"
4094463,Tuscaloosa County,"01125"
4096107,Walker County,"01127"
4096449,Washington County,"01129"
4097694,Wilcox County,"01131"
4098200,Winston County,"01133"
4099679,Arkansas County,"05001"
4099869,Ashley County,"05003"
4100581,Baxter County,"05005"
4101244,Benton County,"05007"
4102608,Boone County,"05009"
4102799,Bradley County,"05011"
4104063,Calhoun County,"05013"
4104658,Carroll County,"05015"
4105506,Chicot County,"05017"
4105838,Clark County,"05019"
4105899,Clay County,"05021"
4106009,Cleburne County,"05023"
4106032,Cleveland County,"05025"
4106339,Columbia County,"05027"
4106460,Conway County,"05029"
4106979,Craighead County,"05031"
4107027,Crawford County,"05033"
4107079,Crittenden County,"05035"
4107139,Cross County,"05037"
4107572,Dallas County,"05039"
4108100,Desha County,"05041"
4108996,Drew County,"05043"
4110465,Faulkner County,"05045"
4111593,Franklin County,"05047"
4111857,Fulton County,"05049"
4112045,Garland County,"05051"
4112780,Grant County,"05053"
4113088,Greene County,"05055"
4114303,Hempstead County,"05057"
4115406,Hot Spring County,"05059"
4115463,Howard County,"05061"
4115832,Independence County,"05063"
4116178,Izard County,"05065"
4116263,Jackson County,"05067"
4116433,Jefferson County,"05069"
4116689,Johnson County,"05071"
4117774,Lafayette County,"05073"
4118467,Lawrence County,"05075"
4118578,Lee County,"05077"
4118984,Lincoln County,"05079"
4119374,Little River County,"05081"
4119581,Logan County,"05083"
4119825,Lonoke County,"05085"
4120275,Madison County,"05087"
4120525,Marion County,"05089"
4121680,Miller County,"05091"
4121839,Mississippi County,"05093"
4121968,Monroe County,"05095"
4121992,Montgomery County,"05097"
4123415,Nevada County,"05099"
4123857,Newton County,"05101"
4125059,Ouachita County,"05103"
4125858,Perry County,"05105"
4126012,Phillips County,"05107"
4126123,Pike County,"05109"
4126942,Poinsett County,"05111"
4127017,Polk County,"05113"
4127100,Pope County,"05115"
4127330,Prairie County,"05117"
4127619,Pulaski County,"05119"
4127846,Randolph County,"05121"
4129533,Saint Francis County,"05123"
4130035,Saline County,"05125"
4130373,Scott County,"05127"
4130432,Searcy County,"05129"
4130449,Sebastian County,"05131"
4130562,Sevier County,"05133"
4130730,Sharp County,"05135"
4132456,Stone County,"05137"
4134330,Union County,"05139"
4134690,Van Buren County,"05141"
4135394,Washington County,"05143"
4136143,White County,"05145"
4137047,Woodruff County,"05147"
4137268,Yell County,"05149"
4143221,Kent County,"10001"
4143835,New Castle County,"10003"
4144895,Sussex County,"10005"
4145709,Alachua County,"12001"
4146548,Baker County,"12003"
4146810,Bay County,"12005"
4148735,Bradford County,"12007"
4148826,Brevard County,"12009"
4149007,Broward County,"12011"
4149608,Calhoun County,"12013"
4150627,Charlotte County,"12015"
4151140,Citrus County,"12017"
4151245,Clay County,"12019"
4151550,Collier County,"12021"
4151595,Columbia County,"12023"
4152927,DeSoto County,"12027"
4153352,Dixie County,"12029"
4153840,Duval County,"12031"
4154550,Escambia County,"12033"
4155535,Flagler County,"12035"
4156210,Franklin County,"12037"
4156394,Gadsden County,"12039"
4156770,Gilchrist County,"12041"
4156815,Glades County,"12043"
4157652,Gulf County,"12045"
4157924,Hamilton County,"12047"
4158068,Hardee County,"12049"
4158392,Hendry County,"12051"
4158449,Hernando County,"12053"
4158643,Highlands County,"12055"
4158712,Hillsborough County,"12057"
4158961,Holmes County,"12059"
4159657,Indian River County,"12061"
4159990,Jackson County,"12063"
4160118,Jefferson County,"12065"
4161127,Lafayette County,"12067"
4161204,Lake County,"12069"
4161743,Lee County,"12071"
4161831,Leon County,"12073"
4161891,Levy County,"12075"
4161925,Liberty County,"12077"
4163142,Madison County,"12079"
4163277,Manatee County,"12081"
4163456,Marion County,"12083"
4163566,Martin County,"12085"
4164238,Miami-Dade County,"12086"
4164762,Monroe County,"12087"
4165603,Nassau County,"12089"
4166818,Okaloosa County,"12091"
4166825,Okeechobee County,"12093"
4167060,Orange County,"12095"
4167218,Osceola County,"12097"
4167510,Palm Beach County,"12099"
4167895,Pasco County,"12101"
4168618,Pinellas County,"12103"
4168988,Polk County,"12105"
4169471,Putnam County,"12107"
4171153,Saint Johns County,"12109"
4171260,Saint Lucie County,"12111"
4172096,Santa Rosa County,"12113"
4172139,Sarasota County,"12115"
4172445,Seminole County,"12117"
4174301,Sumter County,"12119"
4174543,Suwannee County,"12121"
4174886,Taylor County,"12123"
4176099,Union County,"12125"
4176559,Volusia County,"12127"
4177321,Wakulla County,"12129"
4177409,Walton County,"12131"
4177485,Washington County,"12133"
4180088,Appling County,"13001"
4180432,Atkinson County,"13003"
4180711,Bacon County,"13005"
4180816,Baker County,"13007"
4180872,Baldwin County,"13009"
4180965,Banks County,"13011"
4181182,Barrow County,"13013"
4181218,Bartow County,"13015"
4181955,Ben Hill County,"13017"
4182126,Berrien County,"13019"
4182755,Bibb County,"13021"
4183415,Bleckley County,"13023"
4184153,Brantley County,"13025"
4184557,Brooks County,"13027"
4184899,Bryan County,"13029"
4185202,Bulloch County,"13031"
4185265,Burke County,"13033"
4185484,Butts County,"13035"
4185662,Calhoun County,"13037"
4185838,Camden County,"13039"
4186104,Candler County,"13043"
4186396,Carroll County,"13045"
4186713,Catoosa County,"13047"
4187348,Charlton County,"13049"
4187390,Chatham County,"13051"
