place_id,name,type,parent_place_id,parent_name,parent_type
4140963,Washington D.C.,admin:city:major,4138106,District of Columbia,region
5151374,Crawford County,county,5165418,Ohio,region
4882529,Wright County,county,4862182,Iowa,region
4183415,Bleckley County,county,4197000,Georgia,region
5469835,Grant County,county,5481136,New Mexico,region
4381646,Clinton County,county,4398678,Missouri,region
4072098,Lee County,county,4829764,Alabama,region
4887163,Champaign County,county,4896861,Illinois,region
4375346,Audrain County,county,4398678,Missouri,region
5847795,Kalawao County,county,5855797,Hawaii,region
4338356,Rapides Parish,county,4331987,Louisiana,region
5835308,Platte County,county,5843591,Wyoming,region
4734150,Starr County,county,4736286,Texas,region
4683477,Coryell County,county,4736286,Texas,region
5833446,Niobrara County,county,5843591,Wyoming,region
5766096,Jones County,county,5769223,South Dakota,region
5200448,McKean County,county,6254927,Pennsylvania,region
5769778,Todd County,county,5769223,South Dakota,region
4937280,Franklin County,county,6254926,Massachusetts,region
5539784,Grand County,county,5549030,Utah,region
5489698,San Juan County,county,5481136,New Mexico,region
4820055,Ritchie County,county,4826850,West Virginia,region
4275111,Marshall County,county,4273857,Kansas,region
5842257,Washakie County,county,5843591,Wyoming,region
5689375,Grant County,county,5690763,North Dakota,region
4277972,Reno County,county,4273857,Kansas,region
5759046,Wallowa County,county,5744337,Oregon,region
4069696,Jefferson County,county,4829764,Alabama,region
4413583,Warren County,county,4398678,Missouri,region
4226924,Towns County,county,4197000,Georgia,region
5514990,White Pine County,county,5509151,Nevada,region
4117774,Lafayette County,county,4099753,Arkansas,region
4185202,Bulloch County,county,4197000,Georgia,region
4865506,Louisa County,county,4862182,Iowa,region
4901730,McLean County,county,4896861,Illinois,region
4859624,Hamilton County,county,4862182,Iowa,region
5143268,Warren County,county,5128638,State of New York,region
4252486,Washington County,county,4896861,Illinois,region
4397100,Maries County,county,4398678,Missouri,region
4998535,Lake County,county,5001836,Michigan,region
5068853,Gage County,county,5073708,Nebraska,region
5530333,Schleicher County,county,4736286,Texas,region
5038801,Murray County,county,5037779,Minnesota,region
4862494,Jefferson County,county,4862182,Iowa,region
4703256,Kimble County,county,4736286,Texas,region
4274536,Linn County,county,4273857,Kansas,region
5232511,Union County,county,5769223,South Dakota,region
4223848,Spalding County,county,4197000,Georgia,region
4243719,Macon County,county,4896861,Illinois,region
4288063,Clinton County,county,6254925,Kentucky,region
4362716,Montgomery County,county,4361885,Maryland,region
4293245,Graves County,county,6254925,Kentucky,region
5076351,Rock County,county,5073708,Nebraska,region
4901622,McDonough County,county,4896861,Illinois,region
5763333,Campbell County,county,5769223,South Dakota,region
4759449,Floyd County,county,6254928,Virginia,region
4741939,Willacy County,county,4736286,Texas,region
4857806,Fremont County,county,4862182,Iowa,region
4804155,Doddridge County,county,4826850,West Virginia,region
4419012,Bolivar County,county,4436296,Mississippi,region
4746270,Bedford County,county,6254928,Virginia,region
4777756,Page County,county,6254928,Virginia,region
4861232,Howard County,county,4862182,Iowa,region
4642752,Morgan County,county,4662168,Tennessee,region
4154550,Escambia County,county,4155751,Florida,region
5254832,Grant County,county,5279468,Wisconsin,region
4400561,Newton County,county,4398678,Missouri,region
4851093,Cerro Gordo County,county,4862182,Iowa,region
5527746,Oldham County,county,4736286,Texas,region
4985760,Berrien County,county,5001836,Michigan,region
5212772,Snyder County,county,6254927,Pennsylvania,region
5596986,Jefferson County,county,5596512,Idaho,region
5251439,Eau Claire County,county,5279468,Wisconsin,region
5674655,Roosevelt County,county,5667009,Montana,region
4710698,Menard County,county,4736286,Texas,region
5350964,Fresno County,county,5332921,California,region
4624666,Gibson County,county,4662168,Tennessee,region
4176559,Volusia County,county,4155751,Florida,region
5411026,Yuba County,county,5332921,California,region
4768515,Lancaster County,county,6254928,Virginia,region
4537472,Garfield County,county,4544379,Oklahoma,region
5028232,Goodhue County,county,5037779,Minnesota,region
4180872,Baldwin County,county,4197000,Georgia,region
4694710,Grayson County,county,4736286,Texas,region
5690889,Oliver County,county,5690763,North Dakota,region
4255024,Brown County,county,4921868,Indiana,region
4202638,Jasper County,county,4197000,Georgia,region
4294546,Henry County,county,6254925,Kentucky,region
4938757,Hampshire County,county,6254926,Massachusetts,region
4334734,Natchitoches Parish,county,4331987,Louisiana,region
4099869,Ashley County,county,4099753,Arkansas,region
5182829,Cambria County,county,6254927,Pennsylvania,region
4522889,Ross County,county,5165418,Ohio,region
5546669,Sevier County,county,5549030,Utah,region
5810608,Skagit County,county,5815135,Washington,region
4394055,Lafayette County,county,4398678,Missouri,region
5677503,Sheridan County,county,5667009,Montana,region
4614441,Cocke County,county,4662168,Tennessee,region
5243051,Windham County,county,5242283,Vermont,region
4231029,Wilkes County,county,4197000,Georgia,region
5175898,Wayne County,county,5165418,Ohio,region
4664489,Van Buren County,county,4662168,Tennessee,region
4742425,Wilson County,county,4736286,Texas,region
4193705,Evans County,county,4197000,Georgia,region
4755865,Dickenson County,county,6254928,Virginia,region
5038318,Morrison County,county,5037779,Minnesota,region
4211691,Murray County,county,4197000,Georgia,region
5043502,Rock County,county,5037779,Minnesota,region
4533932,Comanche County,county,4544379,Oklahoma,region
5525637,Lynn County,county,4736286,Texas,region
4287837,Clark County,county,6254925,Kentucky,region
5446023,Morton County,county,4273857,Kansas,region
4673310,Bell County,county,4736286,Texas,region
5730293,Harney County,county,5744337,Oregon,region
5228654,Hughes County,county,5769223,South Dakota,region
5470197,Guadalupe County,county,5481136,New Mexico,region
5651735,Fergus County,county,5667009,Montana,region
5059489,Griggs County,county,5690763,North Dakota,region
5061439,Sargent County,county,5690763,North Dakota,region
4056592,Conecuh County,county,4829764,Alabama,region
5647905,Dawson County,county,5667009,Montana,region
4313865,Wolfe County,county,6254925,Kentucky,region
5445544,Hamilton County,county,4273857,Kansas,region
4688864,Ellis County,county,4736286,Texas,region
5363385,Kings County,county,5332921,California,region
5687646,Adams County,county,5690763,North Dakota,region
5227372,Douglas County,county,5769223,South Dakota,region
4276164,Ness County,county,4273857,Kansas,region
5201756,Montgomery County,county,6254927,Pennsylvania,region
4275635,Mitchell County,county,4273857,Kansas,region
5101160,Middlesex County,county,5101760,New Jersey,region
5048696,Steele County,county,5037779,Minnesota,region
4184557,Brooks County,county,4197000,Georgia,region
4702669,Karnes County,county,4736286,Texas,region
5232458,Turner County,county,5769223,South Dakota,region
4928215,Whitley County,county,4921868,Indiana,region
4849935,Butler County,county,4862182,Iowa,region
5230591,Potter County,county,5769223,South Dakota,region
4496539,Vance County,county,4482348,North Carolina,region
5004681,Ottawa County,county,5001836,Michigan,region
4574328,Charleston County,county,4597040,South Carolina,region
4357407,Harford County,county,4361885,Maryland,region
5162679,Mercer County,county,5165418,Ohio,region
4743865,Accomack County,county,6254928,Virginia,region
4452290,Alamance County,county,4482348,North Carolina,region
5800813,Lewis County,county,5815135,Washington,region
4617654,Decatur County,county,4662168,Tennessee,region
4470002,Harnett County,county,4482348,North Carolina,region
4602643,Anderson County,county,4662168,Tennessee,region
4825733,Upshur County,county,4826850,West Virginia,region
4961900,Cumberland County,county,4971068,Maine,region
5877533,Wade Hampton Census Area,county,5879092,Alaska,region
5585826,Bingham County,county,5596512,Idaho,region
5008950,Sanilac County,county,5001836,Michigan,region
4752215,City of Chesapeake,county,6254928,Virginia,region
4343280,Tensas Parish,county,4331987,Louisiana,region
5741531,Morrow County,county,5744337,Oregon,region
5036797,Martin County,county,5037779,Minnesota,region
4682626,Colorado County,county,4736286,Texas,region
5846893,Haines Borough,county,5879092,Alaska,region
4762757,Halifax County,county,6254928,Virginia,region
4279478,Smith County,county,4273857,Kansas,region
5066605,Custer County,county,5073708,Nebraska,region
4849598,Buchanan County,county,4862182,Iowa,region
4115406,Hot Spring County,county,4099753,Arkansas,region
5359067,Imperial County,county,5332921,California,region
4339354,Sabine Parish,county,4331987,Louisiana,region
4826596,Wayne County,county,4826850,West Virginia,region
4927243,Tipton County,county,4921868,Indiana,region
5445570,Haskell County,county,4273857,Kansas,region
5280351,Hancock County,county,4826850,West Virginia,region
5583743,Adams County,county,5596512,Idaho,region
5446561,Stanton County,county,4273857,Kansas,region
4739167,Victoria County,county,4736286,Texas,region
5261856,Marinette County,county,5279468,Wisconsin,region
4871894,Pottawattamie County,county,4862182,Iowa,region
4767790,King William County,county,6254928,Virginia,region
4130562,Sevier County,county,4099753,Arkansas,region
4713849,Navarro County,county,4736286,Texas,region
4441053,Pike County,county,4436296,Mississippi,region
4819197,Putnam County,county,4826850,West Virginia,region
4994374,Grand Traverse County,county,5001836,Michigan,region
5686294,Wibaux County,county,5667009,Montana,region
