,count,aggregated_impact,community_count,concerts_count,festivals_count,performing-arts_count,sports_count,conferences_count,expos_count,public-holidays_count,school-holidays_count,observances_count,community_impact,concerts_impact,festivals_impact,performing-arts_impact,sports_impact,conferences_impact,expos_impact,public-holidays_impact,school-holidays_impact,observances_impact,rescaled_aei
2017-01-01,3,12000,1,0,0,0,1,0,0,1,0,0,6000,0,0,0,6000,0,0,0,0,0,0.029925187032418952
2017-01-02,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-04,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0.014962593516209476
2017-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-06,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0.014962593516209476
2017-01-07,3,126000,0,0,1,0,2,0,0,0,0,0,0,0,60000,0,66000,0,0,0,0,0,0.31421446384039897
2017-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-12,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-01-13,1,19000,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0.04738154613466334
2017-01-14,2,25000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,19000,0,6000,0,0,0,0.062344139650872814
2017-01-15,1,6000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0.014962593516209476
2017-01-16,3,6000,1,0,0,0,0,0,0,2,0,0,6000,0,0,0,0,0,0,0,0,0,0.014962593516209476
2017-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-18,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0.014962593516209476
2017-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-20,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0.0016633416458852867
2017-01-21,3,194667,1,0,1,0,1,0,0,0,0,0,188000,0,667,0,6000,0,0,0,0,0,0.48545386533665835
2017-01-22,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0.0016633416458852867
2017-01-23,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0.0016633416458852867
2017-01-24,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0.0016633416458852867
2017-01-25,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0.0016633416458852867
2017-01-26,2,19667,0,0,1,0,1,0,0,0,0,0,0,0,667,0,19000,0,0,0,0,0,0.04904488778054863
2017-01-27,3,66667,0,0,2,0,1,0,0,0,0,0,0,0,60667,0,6000,0,0,0,0,0,0.16625187032418953
2017-01-28,2,19667,0,0,1,0,1,0,0,0,0,0,0,0,667,0,19000,0,0,0,0,0,0.04904488778054863
2017-01-29,3,8567,0,0,2,0,1,0,0,0,0,0,0,0,2567,0,6000,0,0,0,0,0,0.021364089775561097
2017-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-02-01,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0.014962593516209476
2017-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-02-04,2,25000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0.062344139650872814
2017-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-02-07,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
