,total_count,total_attendance_sum,community_count,concerts_count,festivals_count,performing-arts_count,sports_count,conferences_count,expos_count,public_holidays_count,school_holidays_count,observances_count,community_sum,concerts_sum,festivals_sum,performing_arts_sum,sports_sum,conferences_sum,expos_sum
2017-01-01,3,12000,1,0,0,0,1,0,0,1,0,0,6000,0,0,0,6000,0,0
2017-01-02,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-04,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0
2017-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-06,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0
2017-01-07,3,126000,0,0,1,0,2,0,0,0,0,0,0,0,60000,0,66000,0,0
2017-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-12,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0
2017-01-13,1,19000,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0
2017-01-14,2,25000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,19000,0,6000
2017-01-15,1,6000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000
2017-01-16,3,6000,1,0,0,0,0,0,0,2,0,0,6000,0,0,0,0,0,0
2017-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-18,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0
2017-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-20,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0
2017-01-21,3,194667,1,0,1,0,1,0,0,0,0,0,188000,0,667,0,6000,0,0
2017-01-22,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0
2017-01-23,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0
2017-01-24,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0
2017-01-25,1,667,0,0,1,0,0,0,0,0,0,0,0,0,667,0,0,0,0
2017-01-26,2,19667,0,0,1,0,1,0,0,0,0,0,0,0,667,0,19000,0,0
2017-01-27,3,66667,0,0,2,0,1,0,0,0,0,0,0,0,60667,0,6000,0,0
2017-01-28,2,19667,0,0,1,0,1,0,0,0,0,0,0,0,667,0,19000,0,0
2017-01-29,3,8567,0,0,2,0,1,0,0,0,0,0,0,0,2567,0,6000,0,0
2017-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0
2017-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-04,2,25000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25000,0,0
2017-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-07,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0
2017-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-10,1,6000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0
2017-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-12,2,66000,1,0,0,0,1,0,0,0,0,0,60000,0,0,0,6000,0,0
2017-02-13,1,6000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0
2017-02-14,2,6000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6000,0
2017-02-15,1,6000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0
2017-02-16,5,40167,0,0,1,0,2,1,1,0,0,0,0,0,3167,0,25000,6000,6000
2017-02-17,2,9167,0,0,1,0,0,0,1,0,0,0,0,0,3167,0,0,0,6000
2017-02-18,5,53167,0,0,1,1,2,0,1,0,0,0,0,0,3167,19000,25000,0,6000
2017-02-19,1,3167,0,0,1,0,0,0,0,0,0,0,0,0,3167,0,0,0,0
2017-02-20,3,9167,0,1,1,0,0,0,0,1,0,0,0,6000,3167,0,0,0,0
2017-02-21,1,3167,0,0,1,0,0,0,0,0,0,0,0,0,3167,0,0,0,0
2017-02-22,2,63167,0,0,1,0,0,0,1,0,0,0,0,0,3167,0,0,0,60000
2017-02-23,2,66000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6000,0,60000
2017-02-24,2,61900,0,0,1,0,0,0,1,0,0,0,0,0,1900,0,0,0,60000
2017-02-25,5,133900,0,0,2,0,1,0,2,0,0,0,0,0,61900,0,6000,0,66000
2017-02-26,2,61900,0,0,1,0,0,0,1,0,0,0,0,0,1900,0,0,0,60000
2017-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-02,3,67900,0,0,1,0,1,1,0,0,0,0,0,0,1900,0,6000,60000,0
2017-03-03,2,66000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6000,60000,0
2017-03-04,4,132000,0,1,0,0,2,1,0,0,0,0,0,60000,0,0,12000,60000,0
2017-03-05,2,66000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6000,60000,0
2017-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-11,1,60000,0,0,1,0,0,0,0,0,0,0,0,0,60000,0,0,0,0
2017-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-15,1,6000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000
2017-03-16,2,6250,0,0,1,0,0,0,1,0,0,0,0,0,250,0,0,0,6000
2017-03-17,4,25250,0,1,1,0,0,0,1,1,0,0,0,19000,250,0,0,0,6000
2017-03-18,3,12250,0,0,1,0,1,0,1,0,0,0,0,0,250,0,6000,0,6000
2017-03-19,2,60250,0,0,1,0,1,0,0,0,0,0,0,0,250,0,60000,0,0
2017-03-20,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0
2017-03-21,2,6250,0,1,1,0,0,0,0,0,0,0,0,6000,250,0,0,0,0
2017-03-22,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0
2017-03-23,4,27250,1,1,2,0,0,0,0,0,0,0,6000,19000,2250,0,0,0,0
2017-03-24,2,2250,0,0,2,0,0,0,0,0,0,0,0,0,2250,0,0,0,0
2017-03-25,2,2250,0,0,2,0,0,0,0,0,0,0,0,0,2250,0,0,0,0
2017-03-26,2,2250,0,0,2,0,0,0,0,0,0,0,0,0,2250,0,0,0,0
2017-03-27,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0
2017-03-28,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0
2017-03-29,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0
2017-03-30,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0
2017-03-31,3,60250,0,0,1,0,1,0,0,1,0,0,0,0,250,0,60000,0,0
2017-04-01,3,12250,0,1,1,0,0,1,0,0,0,0,0,6000,250,0,0,6000,0
2017-04-02,3,25250,0,0,2,0,0,1,0,0,0,0,0,0,19250,0,0,6000,0
2017-04-03,2,6250,0,0,1,0,0,1,0,0,0,0,0,0,250,0,0,6000,0
2017-04-04,2,6250,0,0,1,0,0,1,0,0,0,0,0,0,250,0,0,6000,0
2017-04-05,2,6250,0,0,1,0,0,1,0,0,0,0,0,0,250,0,0,6000,0
2017-04-06,2,6250,0,0,1,0,0,1,0,0,0,0,0,0,250,0,0,6000,0
2017-04-07,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0
2017-04-08,3,79250,0,1,1,0,1,0,0,0,0,0,0,19000,250,0,60000,0,0
2017-04-09,1,250,0,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0
2017-04-10,1,60000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60000,0,0
2017-04-11,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0
2017-04-12,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0
2017-04-13,1,6000,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0
2017-04-14,3,85000,0,0,1,0,1,0,1,0,0,0,0,0,6000,0,60000,0,19000
2017-04-15,6,116000,0,1,2,0,2,0,1,0,0,0,0,6000,25000,0,66000,0,19000
2017-04-16,2,38000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,19000,0,19000
2017-04-17,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0
2017-04-18,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0
2017-04-19,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0
2017-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
