date,demand
2023-02-03,17696
2023-02-04,28718
2023-02-05,24442
2023-02-06,13468
2023-02-07,12600
2023-02-08,13671
2023-02-09,13324
2023-02-10,16589
2023-02-11,22597
2023-02-12,18372
2023-02-13,17127
2023-02-14,22995
2023-02-15,22699
2023-02-16,21499
2023-02-17,19838
2023-02-18,24359
2023-02-19,17968
2023-02-20,20396
2023-02-21,13558
2023-02-22,17225
2023-02-23,13815
2023-02-24,16738
2023-02-25,23175
2023-02-26,18421
2023-02-27,13625
2023-02-28,14121
2023-03-01,13992
2023-03-02,15958
2023-03-03,18466
2023-03-04,26586
2023-03-05,19819
2023-03-06,19722
2023-03-07,19651
2023-03-08,18356
2023-03-09,14375
2023-03-10,22363
2023-03-11,28106
2023-03-12,23906
2023-03-13,21343
2023-03-14,18410
2023-03-15,21513
2023-03-16,22913
2023-03-17,17146
2023-03-18,27008
2023-03-19,24730
2023-03-20,22511
2023-03-21,21709
2023-03-22,19795
2023-03-23,21314
2023-03-24,22698
2023-03-25,27154
2023-03-26,24239
2023-03-27,14469
2023-03-28,20105
2023-03-29,13353
2023-03-30,14140
2023-03-31,17107
2023-04-01,26229
2023-04-02,22617
2023-04-03,17551
2023-04-04,16909
2023-04-05,22681
2023-04-06,23580
2023-04-07,22554
2023-04-08,27236
2023-04-09,22133
2023-04-10,19155
2023-04-11,18981
2023-04-12,22419
2023-04-13,23467
2023-04-14,25801
2023-04-15,23649
2023-04-16,20012
2023-04-17,18807
2023-04-18,19170
2023-04-19,19561
2023-04-20,21378
2023-04-21,21024
2023-04-22,26093
2023-04-23,22940
2023-04-24,13457
2023-04-25,13904
2023-04-26,14123
2023-04-27,21535
2023-04-28,20310
2023-04-29,27554
2023-04-30,23286
2023-05-01,22972
2023-05-02,17241
2023-05-03,14243
2023-05-04,23018
2023-05-05,15240
2023-05-06,27710
2023-05-07,25610
2023-05-08,21772
2023-05-09,12529
2023-05-10,13381
2023-05-11,20616
2023-05-12,21476
2023-05-13,26542
2023-05-14,23756
2023-05-15,12574
2023-05-16,13691
2023-05-17,14669
2023-05-18,20937
2023-05-19,21673
2023-05-20,25937
2023-05-21,19439
2023-05-22,13088
2023-05-23,13557
2023-05-24,13847
2023-05-25,19250
2023-05-26,23549
2023-05-27,26932
2023-05-28,20488
2023-05-29,22875
2023-05-30,17739
2023-05-31,16963
2023-06-01,22928
2023-06-02,24461
2023-06-03,24249
2023-06-04,20995
2023-06-05,13940
2023-06-06,17378
2023-06-07,17036
2023-06-08,13841
2023-06-09,16338
2023-06-10,19519
2023-06-11,18143
2023-06-12,13392
2023-06-13,17302
2023-06-14,17959
2023-06-15,16828
2023-06-16,16727
2023-06-17,24739
2023-06-18,20322
2023-06-19,16147
2023-06-20,14276
2023-06-21,17990
2023-06-22,14123
2023-06-23,16256
2023-06-24,20000
2023-06-25,21380
2023-06-26,18618
2023-06-27,14626
2023-06-28,15769
2023-06-29,15567
2023-06-30,23482
2023-07-01,27183
2023-07-02,20642
2023-07-03,20321
2023-07-04,14639
2023-07-05,20727
2023-07-06,16422
2023-07-07,22905
2023-07-08,25102
2023-07-09,20815
2023-07-10,15123
2023-07-11,14389
2023-07-12,19624
2023-07-13,14845
2023-07-14,21661
2023-07-15,25776
2023-07-16,22984
2023-07-17,14646
2023-07-18,14966
2023-07-19,15871
2023-07-20,16495
2023-07-21,20596
2023-07-22,27480
2023-07-23,20240
2023-07-24,17122
2023-07-25,17291
2023-07-26,16848
2023-07-27,17923
2023-07-28,20175
2023-07-29,24249
2023-07-30,20169
2023-07-31,16277
2023-08-01,16668
2023-08-02,17175
