id,title,start,end,timezone,category,rank,local_rank,location
5YLc64GnFaDHPFCJgP,MR. KLEIN,2/11/2019,3/11/2019,America/Los_Angeles,performing-arts,16,36,"[-122.288415, 47.564078]"
JLj9i4fEi6CZPRyBXr,KNU Massacre Emerald City,2/11/2019,3/11/2019,America/Los_Angeles,performing-arts,16,32,"[-122.309859, 47.601298]"
pubitFNY8rvV7G9Lmx,THIEVES' HIGHWAY,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,16,36,"[-122.288415, 47.564078]"
S8RYsPLQqRxoNVjEam,"""George A Romeroâ€™s NIGHT of the Living Deadâ„¢ LIVE!""",2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,16,32,"[-122.327169, 47.595104]"
vcbpAevuCt3keZGUnu,Miss Saigon,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,59,69,"[-122.331342, 47.613257]"
Kb7ZdKd5PuH6EK2gs8,MR. KLEIN,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,16,36,"[-122.288415, 47.564078]"
d8AoPKmPaTJyKorTCD,Donald Byrd: The America That Is To Be,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,17,29,"[-122.324065, 47.60694]"
bnpBEFajfK7nxct4Z2,Dress Codes: Ellen Lesperance and Diane Simpson,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,17,29,"[-122.324065, 47.60694]"
yLsgCe4eF8JR2JFjZN,Pierre Leguillon: Arbus Bonus,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,17,29,"[-122.324065, 47.60694]"
VgXuBnVbBd3BCfwdzQ,Recent Acquisitions: Toyin Ojih Odutola,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,17,29,"[-122.324065, 47.60694]"
SicUsaapMh24JpauPm,Frame of Mind: Storytelling Through Animation,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,17,29,"[-122.324065, 47.60694]"
bnYNhFePjCY7sEDtAs,Lighting for Film and Media,2/11/2019,3/11/2019,America/Los_Angeles,performing-arts,16,27,"[-122.31723, 47.614436]"
DS5yVvZgk47GXekiFQ,Art Hub - First Saturday,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,17,28,"[-122.313514, 47.665896]"
rVbAgRjYLLHwDzzyxy,Unsettling Femininity: Selections from the Frye Art Museum Collection,2/11/2019,2/11/2019,America/Los_Angeles,performing-arts,17,29,"[-122.324065, 47.60694]"
aXKhfmeZFhhkvmw7oC,Life Wide Angle/Close Up,2/11/2019,3/11/2019,America/Los_Angeles,performing-arts,17,32,"[-122.322813, 47.598225]"
mD3e2dCLr6ZoKqNXJ5,The Call of Cthulhu,3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,21,37,"[-122.35634, 47.652439]"
ehmnVm56BJ7EXUr8iT,The Brothers Paranormal,3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,21,35,"[-122.324063, 47.598856]"
yNr9LAbXMPN2zhZZFb,The Pavilion,3/11/2019,4/11/2019,America/Los_Angeles,performing-arts,16,27,"[-122.316384, 47.615896]"
FRC428VDm3TbESSmge,MR. KLEIN,3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,16,36,"[-122.288415, 47.564078]"
tKMXhqCn4zxXYhFRRC,Miss Saigon,3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,59,69,"[-122.331342, 47.613257]"
Zs4SdLpeR9SakGDhBR,Anime Sunrise: DALLOS,3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,16,36,"[-122.288415, 47.564078]"
75cMXqaLafaeqCxDs4,Life Wide Angle/Close Up,3/11/2019,4/11/2019,America/Los_Angeles,performing-arts,17,32,"[-122.322813, 47.598225]"
FaRZ93CHbHXT7hfLHa,MATT DONAHER,3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,38,51,"[-122.333619, 47.600742]"
x6uHuCssQbGbLWXhjG,MY OWN PRIVATE IDAHO,3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,16,36,"[-122.288415, 47.564078]"
Reet9UK2DCQVjpKpJm,Ryan Hamilton,3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,48,58,"[-122.314037, 47.66119]"
FpzmNNz2GnVNpXyVX4,"Girls Night Out the Show at Hard Rock Cafe (Seattle, WA)",3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,43,53,"[-122.339477, 47.609236]"
fK7YfLmvMdbLV6uL7Y,Miss Saigon,3/11/2019,3/11/2019,America/Los_Angeles,performing-arts,59,69,"[-122.331342, 47.613257]"
