id,title,start,end,timezone,category,rank,local_rank,location
22D8XxrLJAZdDGALmJ,My Fair Lady,23/11/2019 0:00,23/11/2019 0:00,America/Los_Angeles,performing-arts,16,42,"[-122.031746, 47.613601]"
22zjRLwNhD7yVuK9dN,Noises Off,14/12/2019 0:00,14/12/2019 0:00,America/Los_Angeles,performing-arts,16,46,"[-122.057285, 47.331313]"
22zsx4msWs9bfMj5EA,Seattle Data Analytics Lunch and Learn,5/01/2020 0:00,5/01/2020 0:00,America/Los_Angeles,community,11,23,"[-122.337424, 47.623017]"
232QmpoTc2cFMetxwV,Debtors Anonymous,10/01/2020 0:00,10/01/2020 0:00,America/Los_Angeles,community,11,38,"[-122.643811, 47.734308]"
23No3yBrTzEx22oCo9,PMP Exam Prep Boot Camp in Seattle,28/01/2020 0:00,29/01/2020 0:00,America/Los_Angeles,community,22,32,"[-122.347585, 47.611565]"
25Bz8s5cPVaPFdXaSe,Kitsap Mac Users Group,21/11/2019 0:00,21/11/2019 0:00,America/Los_Angeles,community,11,36,"[-122.683513, 47.660366]"
25rwaoRbQAWphdi9hA,KLUTE,16/11/2019 0:00,16/11/2019 0:00,America/Los_Angeles,performing-arts,16,36,"[-122.288415, 47.564078]"
26gj6mQhLHq9S5sjZu,Come Scrap With Us,8/11/2019 0:00,10/11/2019 0:00,America/Los_Angeles,expos,64,83,"[-122.438987, 47.248525]"
27BZd45z7PjBbb6FUy,Slow Rivals,25/01/2020 0:00,25/01/2020 0:00,America/Los_Angeles,concerts,28,44,"[-122.342525, 47.649866]"
27v2qCFNHuTT5Gkg9M,November Featured Artists,30/11/2019 0:00,30/11/2019 0:00,America/Los_Angeles,performing-arts,22,43,"[-122.205682, 47.676278]"
28rQSDtyyEocUnwSqC,Free Social Security Seminar,7/11/2019 0:00,8/11/2019 0:00,America/Los_Angeles,community,28,56,"[-122.691095, 47.649148]"
29cWtcYfzWLK6GPRz9,"Hide, Nox Novacula, and Cyberplasm",22/11/2019 0:00,22/11/2019 0:00,America/Los_Angeles,concerts,43,54,"[-122.320656, 47.620291]"
29ExL8ezNS86w2TJh8,Enjoy the Artmosphere - Every Saturday Art Drop-In Studio,21/12/2019 0:00,21/12/2019 0:00,America/Los_Angeles,performing-arts,11,42,"[-122.502972, 47.799254]"
