id,title,description,start,end,duration,category,labels,country,rank,aviation_rank,phq_attendance,geo,local_rank,location,place_hierarchies,scope,first_seen
BJmqLY9kQNqw,New Year's Eve,New Year's Eve is the last day of the year in the Gregorian calendar. Many parties to welcome the New Year are held in in the United States on New Year's Eve.,2020-12-31 00:00:00+00:00,2020-12-31 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,90,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:07:03+00:00
D82cvkxrTUk8BSLGbr,International Day of Epidemic Preparedness,,2020-12-27 00:00:00+00:00,2020-12-27 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2021-07-28 00:17:16+00:00
QDPqxb7ll7mM,Kwanzaa (first day),"Kwanzaa is a week-long holiday honoring the culture and traditions of African people and their descendants worldwide, especially in the United States.",2020-12-26 00:00:00+00:00,2020-12-26 23:59:59+00:00,86399,observances,"['holiday', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:06:54+00:00
AEUSEm4cunYtwfPwPe,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,2020-12-25 00:00:00+00:00,2020-12-25 23:59:59+00:00,86399,public-holidays,"['holiday', 'holiday-christian', 'holiday-local', 'holiday-religious']",US,70,0,,"{'geometry': {'type': 'Point', 'coordinates': [-119.4179324, 36.778261]}}",,"[-119.4179324, 36.778261]","[['6295630', '6255149', '6252001', '5332921']]",region,2021-10-17 01:08:09+00:00
b3xEqLza0Nz0,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,2020-12-25 00:00:00+00:00,2020-12-25 23:59:59+00:00,86399,public-holidays,"['holiday', 'holiday-christian', 'holiday-national', 'holiday-religious']",US,90,100,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:06:52+00:00
2GzBLK5LKTFQqdMj7n,Christmas Eve,Christmas Eve in the United States is on December 24 each year.,2020-12-24 00:00:00+00:00,2020-12-24 23:59:59+00:00,86399,public-holidays,"['holiday', 'holiday-national']",US,90,100,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2020-12-23 00:01:21+00:00
7mEmQMgQUfjBvv5ZJF,San Gabriel Unified School District - Christmas Break,,2020-12-24 00:00:00+00:00,2021-01-10 23:59:59+00:00,1555199,school-holidays,"['holiday', 'school']",US,65,0,5567.0,"{'geometry': {'type': 'Polygon', 'coordinates': [[[-118.08156500000001, 34.12104399999996], [-118.08442499999994, 34.12069700000003], [-118.08566299999997, 34.125098000000015], [-118.090189, 34.12256399999996], [-118.09047499999994, 34.122164], [-118.09102000000001, 34.12244199999999], [-118.09121899999995, 34.12218299999997], [-118.09135300000003, 34.12164399999996], [-118.09119400000002, 34.115308000000006], [-118.098153, 34.115266], [-118.09981199999996, 34.11346700000001], [-118.10501800000003, 34.11342799999998], [-118.10532400000002, 34.114620000000016], [-118.11467700000003, 34.113555000000005], [-118.11585199999999, 34.11307000000002], [-118.11668499999999, 34.11234000000002], [-118.12072499999995, 34.106526], [-118.12109500000001, 34.10527499999996], [-118.11617999999996, 34.107666], [-118.115676, 34.10651900000004], [-118.11609199999995, 34.10612099999997], [-118.11477499999997, 34.10428199999996], [-118.11396200000003, 34.10466600000002], [-118.11291000000003, 34.10189499999999], [-118.11293700000003, 34.10035099999996], [-118.113775, 34.09996100000002], [-118.11309800000004, 34.09898699999999], [-118.11346999999999, 34.098807000000015], [-118.11326000000003, 34.09825599999999], [-118.11369599999995, 34.09707699999996], [-118.11306599999996, 34.09606499999998], [-118.11291200000001, 34.09533799999996], [-118.11273099999995, 34.09530399999999], [-118.11270700000001, 34.09387299999998], [-118.10839899999999, 34.09559799999998], [-118.10827199999997, 34.077021999999985], [-118.09956800000002, 34.07714500000004], [-118.09954899999995, 34.079740999999984], [-118.09076699999994, 34.080162], [-118.09084899999998, 34.09171299999996], [-118.07784800000003, 34.09180600000002], [-118.07751600000002, 34.09194699999996], [-118.073322, 34.090560000000046], [-118.07349400000003, 34.10630999999998], [-118.08220999999999, 34.106266999999974], [-118.08230199999997, 34.11350700000003], [-118.08065099999996, 34.113517999999964], [-118.08151299999997, 34.11739700000001], [-118.08156500000001, 34.12104399999996]]]}}",45.0,"[-118.0955829758, 34.1004562345]","[['6295630', '6255149', '6252001', '5332921', '5368381']]",county,2021-08-13 04:03:25+00:00
lljqM1zoRGVk,Christmas Eve,Christmas Eve in the United States is on December 24 each year.,2020-12-24 00:00:00+00:00,2020-12-24 23:59:59+00:00,86399,observances,"['holiday', 'holiday-christian', 'holiday-religious', 'observance']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:06:51+00:00
YeVAbxBEe8ZQ,December Solstice,,2020-12-21 00:00:00+00:00,2020-12-21 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-season']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:06:45+00:00
NwJ2xyYGDZAA,International Human Solidarity Day,The United Nations' (UN) International Human Solidarity Day is celebrated on December 20 each year to raise public awareness on the importance of solidarity in fighting poverty.,2020-12-20 00:00:00+00:00,2020-12-20 23:59:59+00:00,86399,observances,"['holiday', 'observance', 'observance-united-nations']",US,50,0,,"{'geometry': {'type': 'Point', 'coordinates': [-95.712891, 37.09024]}}",,"[-95.712891, 37.09024]","[['6295630', '6255149', '6252001']]",country,2017-01-04 23:06:43+00:00
